資料名,資料名（ヨミ）,コレクション名,言語,種別,編著者,編著者（ヨミ）,発行者,出版地,刊行年、書写年等,刊行年月日（西暦),形態,内容記述,Alternative Title,Alternative,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
[オランダ語敬称],オランダゴ ケイショウ|Orandago Keisho,精神医学教室旧蔵ガラス乾板,オランダ語,静止画資料,撮影者不明,,,,,不明,小キャビネ,解説: [U Weledele Gestrenge](左上)[zijn]|状態: 新聞紙張り付きのあと|現秩序no.: 91|紙焼き記載no.: B14,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/adc80994-8a4a-8326-5eef-2f590314517f.json,adc80994-8a4a-8326-5eef-2f590314517f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/adc80994-8a4a-8326-5eef-2f590314517f,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0f128c5ae2ccc2ef1a2347ecf03459d2b1c70a2a.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1380144,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,0091,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/adc80994-8a4a-8326-5eef-2f590314517f/manifest,,,,,1
シーボルト再渡来当時の自署,シーボルト サイトライ トウジ ノ ジチョ|Shiboruto saitorai toji no jicho,精神医学教室旧蔵ガラス乾板,オランダ語,静止画資料,撮影者不明|Philipp Franz Balthasar von Siebold,,,,,不明,小キャビネ,解説: [gehoorzame dienaar] Dr. von Siebold. シーボルト先生再渡來當時の手署(出島爪哇蘭語文書ヨリ)--『シーボルト先生 : 其生涯及功業』第百三十図|状態: 新聞紙張り付きのあと|現秩序no.: 92|紙焼き記載no.: B13,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5521a1df-0680-3ea1-88f0-cbf4eda740fd.json,5521a1df-0680-3ea1-88f0-cbf4eda740fd,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/5521a1df-0680-3ea1-88f0-cbf4eda740fd,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/934ba3c1a35a4a8b17553a7f53609342b3a5e540.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1380145,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,0092,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5521a1df-0680-3ea1-88f0-cbf4eda740fd/manifest,,,,,1
『シーボルト先生 : 其生涯及功業』ドイツ語版表紙,シーボルト センセイ ソノ ショウガイ オヨビ コウギョウ ドイツゴバン ヒョウシ|Shiboruto Sensei Sono Shogai Oyobi Kogyo Doitsugoban hyoshi,精神医学教室旧蔵ガラス乾板,ドイツ語,静止画資料,撮影者不明,,,,,不明,小キャビネ,"解説: ""Ph. Fr. von Siebold : Der Erforscher Japans : sein Leben und Wirken : nach der japanischen Denkschrift des Dr. S. Kure"" Heinrich Friedrich von Siebold (Woerl Leipzig 1909)|状態: 割れあり、新聞紙張り付きのあと|現秩序no.: 93|紙焼き記載no.: B12",,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/86eff985-4218-8b3d-6c11-227721953ab4.json,86eff985-4218-8b3d-6c11-227721953ab4,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/86eff985-4218-8b3d-6c11-227721953ab4,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/09e4b023d932285082ffa1b25e8a0421a9fb0670.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1380146,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,0093,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/86eff985-4218-8b3d-6c11-227721953ab4/manifest,,,,,1
良斎筆白楽天長恨歌,リョウサイ ヒツ ハクラクテン チョウゴンカ|Ryosai hitsu Hakurakuten Chogonka,精神医学教室旧蔵ガラス乾板,日本語,静止画資料,撮影者不明|高良斎,,,,,不明,小キャビネ,解説: 天保4年(1833)|加工: マスキング|状態: カビ多|現秩序no.: 94|紙焼き記載no.: C11,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/87e928e4-a17d-6854-2ddc-8dbcdbf27b34.json,87e928e4-a17d-6854-2ddc-8dbcdbf27b34,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/87e928e4-a17d-6854-2ddc-8dbcdbf27b34,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c17bcd5a03611e0726f7d1554d09c22fa2cfbe4e.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1380147,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,0094,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/87e928e4-a17d-6854-2ddc-8dbcdbf27b34/manifest,,,,,1
夕樓酣適圖,ユウロウ カンテキ ズ|Yuro kanteki zu,精神医学教室旧蔵ガラス乾板,日本語,静止画資料,撮影者不明|高良齋|濱口南涯,,,,,不明,小キャビネ,解説: 高良齋創意、濱口南涯画、篠崎小竹賛、天保中(『シーボルト資料展覧会出品目録』による)|加工: マスキング(上辺はがれ)|状態: カビ多、劣化大|現秩序no.: 95|紙焼き記載no.: B10,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8a9323dc-42ec-8f7b-2fe4-d53ddca43c48.json,8a9323dc-42ec-8f7b-2fe4-d53ddca43c48,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/8a9323dc-42ec-8f7b-2fe4-d53ddca43c48,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ecd603b56b3b0cc073cdb9accf47f21dd7b82ac5.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1380148,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,0095,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8a9323dc-42ec-8f7b-2fe4-d53ddca43c48/manifest,,,,,1
児玉順蔵署名,コダマ ジュンゾウ ショメイ|Kodama Junzo shomei,精神医学教室旧蔵ガラス乾板,日本語,静止画資料,撮影者不明|児玉順蔵,,,,,1926年以前,小キャビネ,解説: 掲載: 児玉順蔵の書(呉秀三その書状により)--『シーボルト先生 : 其生涯及功業』第二百三十図|加工: マスキング|現秩序no.: 96|紙焼き記載no.: B9,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/766cab20-73cf-0046-7e10-92f2a3f6049b.json,766cab20-73cf-0046-7e10-92f2a3f6049b,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/766cab20-73cf-0046-7e10-92f2a3f6049b,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/37a304cfbd936e1a7ec4d5f72ddfd24a056b1969.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1380149,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,0096,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/766cab20-73cf-0046-7e10-92f2a3f6049b/manifest,,,,,1
湊長安署名,ミナト チョウアン ショメイ|Minato Choan shomei,精神医学教室旧蔵ガラス乾板,日本語,静止画資料,撮影者不明|湊長安,,,,,1926年以前,小キャビネ,解説: 掲載: 湊長安署名及書面の一節(呉秀三藏)--『シーボルト先生 : 其生涯及功業』第百八十五図|加工: マスキング(一部かこみ)|現秩序no.: 97|紙焼き記載no.: B8,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/0085384b-62e3-48ea-2a02-db429e2e4bb3.json,0085384b-62e3-48ea-2a02-db429e2e4bb3,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/0085384b-62e3-48ea-2a02-db429e2e4bb3,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/e43c733beb779853d91ff77fb2843d6e7c763d99.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1380150,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,0097,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0085384b-62e3-48ea-2a02-db429e2e4bb3/manifest,,,,,1
三宅艮齋肖像,ミヤケ ゴンサイ ショウゾウ|Miyake Gonsai shozo,精神医学教室旧蔵ガラス乾板,,静止画資料,撮影者不明,,,,,1926年以前,小キャビネ,解説: 掲載: 三宅艮齋の肖像(三宅秀君藏の写真より)--『シーボルト先生 : 其生涯及功業』第二百九十一図|状態: カビ多、新聞紙張り付きのあと|現秩序no.: 98|紙焼き記載no.: B7,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/3e6c6822-1b55-4e85-8203-7ab45a8f354c.json,3e6c6822-1b55-4e85-8203-7ab45a8f354c,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/3e6c6822-1b55-4e85-8203-7ab45a8f354c,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/7c13ee0209f0b31b3befcc0d9dfcad8ec9acd4f7.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1380151,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,0098,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/3e6c6822-1b55-4e85-8203-7ab45a8f354c/manifest,,,,,1
大槻磐水肖像,オオツキ バンスイ ショウゾウ|Otsuki Bansui shozo,精神医学教室旧蔵ガラス乾板,,静止画資料,撮影者不明,,,,,1926年以前,小キャビネ,解説: 掲載: 大槻磐水の肖像(大槻如電君藏)--『シーボルト先生 : 其生涯及功業』第二百六十六図|現秩序no.: 99|紙焼き記載no.: B6,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/046fdb41-11d7-8c95-461c-592628da8a9c.json,046fdb41-11d7-8c95-461c-592628da8a9c,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/046fdb41-11d7-8c95-461c-592628da8a9c,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ef6f5f34ff210a7e2874ec33bdea12d76be30ad9.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1380152,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,0099,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/046fdb41-11d7-8c95-461c-592628da8a9c/manifest,,,,,1
扶氏経験遺訓 附録,フシケイケンイクン|Fushikeiken'ikun,古典籍コレクション [医学図書館],日本語,,扶歇蘭度(フーフェランド)原著|緒方洪庵 等訳,,,,安政4年,,11冊 26cm,請求記号: HR:106 附録|資料解説: C. W. Hufeland (独 1762-1836) 「 Enchiridion medicum oder Anleitung zur medicinischen Praxis 」 の一部分を訳した。江戸時代の刊本西洋内科書として最も完備したものとされている。 訳者の緒方洪庵は、西洋医学所(種痘所の改称)の2代目頭取を務めた。|刊年2: 1857,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4f9a8c43-d019-493e-b6e6-880ee99f4007.json,4f9a8c43-d019-493e-b6e6-880ee99f4007,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/4f9a8c43-d019-493e-b6e6-880ee99f4007,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/63f78c732c0f3b972d336b0ed9f05dbe38c7db1b.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/612066,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,010,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4f9a8c43-d019-493e-b6e6-880ee99f4007/manifest,,,,,99
新宮涼庭像,シングウ リョウテイ ゾウ|Shingu Ryotei zo,精神医学教室旧蔵ガラス乾板,,静止画資料,撮影者不明,,,,,不明,小キャビネ,解説: 新宮涼庭像木像の写しか(『医家先哲肖像集』掲載)|状態: 紙片張り付きのあと|現秩序no.: 100|紙焼き記載no.: B5,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c760e211-0a58-4e6c-4e05-e2e7a0dc8214.json,c760e211-0a58-4e6c-4e05-e2e7a0dc8214,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/c760e211-0a58-4e6c-4e05-e2e7a0dc8214,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/6dd0dbb749b75baff1b41d5654f20664ec9f6454.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1380153,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,0100,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c760e211-0a58-4e6c-4e05-e2e7a0dc8214/manifest,,,,,1
黒川良安肖像,クロカワ マサヤス ショウゾウ|Kurokawa Masayasu shozo,精神医学教室旧蔵ガラス乾板,,静止画資料,撮影者不明,,,,,1926年以前,小キャビネ,解説: 掲載: 黒川良安の像(呉秀三藏)--『シーボルト先生 : 其生涯及功業』第二百二十図|現秩序no.: 101|紙焼き記載no.: B4,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4b078628-2b70-95c1-82dd-7aced2e94216.json,4b078628-2b70-95c1-82dd-7aced2e94216,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/4b078628-2b70-95c1-82dd-7aced2e94216,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f5d7f7bdb9626c9d21a71c503731c429fd076b04.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1380154,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,0101,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4b078628-2b70-95c1-82dd-7aced2e94216/manifest,,,,,1
宇田川榕菴肖像,ウタガワ ヨウアン ショウゾウ|Utagawa Yoan shozo,精神医学教室旧蔵ガラス乾板,,静止画資料,撮影者不明,,,,,1926年以前,小キャビネ,解説: 掲載: 宇田川榕菴の像(呉秀三氏藏)--『シーボルト先生 : 其生涯及功業』第二百六十一図|現秩序no.: 102|紙焼き記載no.: B3,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/cd4f3f9c-27c9-158b-9715-e5de651c4e97.json,cd4f3f9c-27c9-158b-9715-e5de651c4e97,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/cd4f3f9c-27c9-158b-9715-e5de651c4e97,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/295e3b417285c5f1b9e9922aa7668df4cc68a8ef.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1380155,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,0102,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/cd4f3f9c-27c9-158b-9715-e5de651c4e97/manifest,,,,,1
[ヴュルツブルクのシーボルト像建立記念写真],ヴュルツブルク ノ シーボルト ゾウ コンリュウ キネン シャシン|Vyurutsuburuku no shiboruto zo konryu kinen shashin,精神医学教室旧蔵ガラス乾板,,静止画資料,撮影者不明,,,,,1926年以前,小キャビネ,解説: 現在、ヴュルツブルク大学と裁判所のあいだにあるシーボルト像の建立記念写真か(『シーボルト先生 : 其生涯及功業』p887-889による)|状態: 紙片張り付きのあと|現秩序no.: 103|紙焼き記載no.: B2,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ec1a1e2b-340c-51b3-7a85-48d1980e96bb.json,ec1a1e2b-340c-51b3-7a85-48d1980e96bb,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/ec1a1e2b-340c-51b3-7a85-48d1980e96bb,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/6824a5694f3af2909ccda45390142a4653433ab3.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1380156,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,0103,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ec1a1e2b-340c-51b3-7a85-48d1980e96bb/manifest,,,,,1
梅木(東海道中名所図会),ウメノキ トウカイドウチュウ メイショ ズエ|Umenoki Tokaidochu Meisho Zue,精神医学教室旧蔵ガラス乾板,日本語,静止画資料,撮影者不明,,,,,1926年以前,小キャビネ,解説: 掲載: 梅ノ木村の大角買薬店(東海道中名所図会)--『シーボルト先生 : 其生涯及功業』第六十四図|加工: マスキング|状態: 紙片張り付きのあと|現秩序no.: 104|紙焼き記載no.: B1,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/2f3cf3cc-8f5e-5056-8a79-5c14c7dc10ec.json,2f3cf3cc-8f5e-5056-8a79-5c14c7dc10ec,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/2f3cf3cc-8f5e-5056-8a79-5c14c7dc10ec,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ecc6693ad3f25587a595639186464aae18d346f1.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1380157,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,0104,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/2f3cf3cc-8f5e-5056-8a79-5c14c7dc10ec/manifest,,,,,1
大徳院法眼岡先生像賛并叙,ダイトクイン ホウゲン オカ センセイ ゾウ サン ナラビ ジョ|Daitokuin Hogen Oka sensei zo san narabi jo,精神医学教室旧蔵ガラス乾板,日本語,静止画資料,撮影者不明|生田箕山,イクタ キザン,,,,不明,"小キャビネ, 紙焼き",解説: 岡泰安像(no.76)の賛叙。源頼明は生田箕山の名。|現秩序no.: P92|紙焼き記載no.: C28,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/524282cb-7611-8188-8049-442bacfd6a64.json,524282cb-7611-8188-8049-442bacfd6a64,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/524282cb-7611-8188-8049-442bacfd6a64,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f3af56cab246c1e0d813197a9757571922bc873c.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1380158,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,0105,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/524282cb-7611-8188-8049-442bacfd6a64/manifest,,,,,1
シーボルト夫人写真,シーボルト フジン シャシン|Shiboruto fujin shashin,精神医学教室旧蔵ガラス乾板,,静止画資料,撮影者不明,,,,,1926年以前,"小キャビネ, 紙焼き",解説: 掲載: シーボルト夫人五十余歳の写真(ウルムエルバハ男爵夫人藏)--『シーボルト先生 : 其生涯及功業』第百十二図|現秩序no.: P91|紙焼き記載no.: C29,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a8b49480-3fca-56c3-5bde-d7d8f73b5170.json,a8b49480-3fca-56c3-5bde-d7d8f73b5170,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/a8b49480-3fca-56c3-5bde-d7d8f73b5170,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c52d1b0f0973126c0c858290727c51b7374470fc.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1380159,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,0106,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a8b49480-3fca-56c3-5bde-d7d8f73b5170/manifest,,,,,1
"""De chirurgie, ende opera van alle de wercken""(1655年版)p.493",,精神医学教室旧蔵ガラス乾板,オランダ語,静止画資料,撮影者不明|Ambrosius Paré|Carel Baten,,,,,不明,"小キャビネ, 紙焼き","解説: アンブロワーズ・パレ著 『外科全書』のオランダ語訳書。""De chirurgie, ende opera van alle de Wercken, van Mr. Ambrosius Paré, raedt ende opperste chirurgijn van vier koningen in Vranckrijck By Ian Fredericksz Stam, 1655"" p.493|現秩序no.: P66|紙焼き記載no.: C54",,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/b76caaa6-51d0-779d-a553-3130fc96322a.json,b76caaa6-51d0-779d-a553-3130fc96322a,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/b76caaa6-51d0-779d-a553-3130fc96322a,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/26be8b8d8a16b3fc37bf01d5f1ec3d0b380bd8df.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1380160,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,0107,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/b76caaa6-51d0-779d-a553-3130fc96322a/manifest,,,,,1
扶氏経験遺訓 薬方,フシケイケンイクン|Fushikeiken'ikun,古典籍コレクション [医学図書館],日本語,,扶歇蘭度(フーフェランド)原著|緒方洪庵 等訳,,,,安政4年,,11冊 26cm,請求記号: HR:110 薬方|資料解説: C. W. Hufeland (独 1762-1836) 「 Enchiridion medicum oder Anleitung zur medicinischen Praxis 」 の一部分を訳した。江戸時代の刊本西洋内科書として最も完備したものとされている。 訳者の緒方洪庵は、西洋医学所(種痘所の改称)の2代目頭取を務めた。|刊年2: 1857,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/17659500-1647-4d8d-8be7-37160e245967.json,17659500-1647-4d8d-8be7-37160e245967,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/17659500-1647-4d8d-8be7-37160e245967,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/12740e3b83ba3b4425095b02ccaa53707eb41029.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/612065,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,011,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/17659500-1647-4d8d-8be7-37160e245967/manifest,,,,,68
