資料名/Title	解題/Description	出版事項/Publication, Discribution, etc.Area	数量/Unit	日付/Date	所蔵/Location	所蔵年次/Year	所蔵巻号/Volumes	請求記号/Call No.	資料区分/Document Categoly	データ形式/Format	本文言語/Language	Place	備考/Comments	書誌番号/Bib.ID	ライセンス/License	アイテムURL	Is Referenced By	iiif viewer	ID	ウェブサイトURL	サムネイル	機械可読ドキュメント	viewingDirection	viewingHint	コレクション	ソート用項目	西暦	IIIFマニフェストURI	IIIF Search API URI	アノテーション付きIIIFマニフェストURI	Link to TAPAS Project	Text with Rich Text Format	# of media
条約本書は日本、英国、蘭国語何れも一綴とする事	No.: BE00005|帖整理番号: 2|種別: 奉行からの書翰|帖年月次: [1859]|元号: 安政|年: 6|月: 6|日: 11|西暦年: 1859|宛名: アールコツク|宛名原綴: Alcock|差出人1: 堀織部正|請求記号: 甲:16:325|コレクション1: 東京大学法学部法制史資料室所蔵コレクション|コレクション2: 英国大使館文書|コレクション3: 幕府及明治政府側よりイギリス公使館宛公文書綴																	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/bf735c0f-fef1-4bed-91da-fd86a05959e5.json	bf735c0f-fef1-4bed-91da-fd86a05959e5														1
コンシユル居留地は談判治定迄青木町寺院を仮止宿の事	No.: BE00006|帖整理番号: 2|種別: 奉行からの書翰|帖年月次: [1859]|元号: 安政|年: 6|月: 6|日: 17|西暦年: 1859|宛名: アールコツク|宛名原綴: Alcock|差出人1: 水野筑後守|差出人2: 堀織部正|差出人3: 加藤壱岐守|請求記号: 甲:16:325|コレクション1: 東京大学法学部法制史資料室所蔵コレクション|コレクション2: 英国大使館文書|コレクション3: 幕府及明治政府側よりイギリス公使館宛公文書綴																	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/90d21ca1-64a9-46cd-b7b7-fb2fb33f77ec.json	90d21ca1-64a9-46cd-b7b7-fb2fb33f77ec														3
公使随員のもの勝手に市中遊歩無きよう注意申渡す	No.: BE00007|帖整理番号: 2|種別: 奉行からの書翰|帖年月次: [1859]|元号: 安政|年: 6|月: 6|西暦年: 1859|宛名: アールコツク|宛名原綴: Alcock|差出人1: 水野筑後守|差出人2: 堀織部正|差出人3: 加藤壱岐守|請求記号: 甲:16:325|コレクション1: 東京大学法学部法制史資料室所蔵コレクション|コレクション2: 英国大使館文書|コレクション3: 幕府及明治政府側よりイギリス公使館宛公文書綴																	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/bc7da0fd-bc80-4cd6-be34-3557375d033e.json	bc7da0fd-bc80-4cd6-be34-3557375d033e														9
新鋳金銀貨幣の内容質問に答う	No.: BE00008|帖整理番号: 3|種別: 老中書翰附属同封文書|帖年月次: [1859]|文書番号: 11|元号: 安政|年: 6|月: 6|日: 17|西暦年: 1859|差出人1: 大田備後守|差出人2: 間部下総守|請求記号: 甲:16:325|コレクション1: 東京大学法学部法制史資料室所蔵コレクション|コレクション2: 英国大使館文書|コレクション3: 幕府及明治政府側よりイギリス公使館宛公文書綴																	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/cc7fcd9c-8b2d-4fc6-9846-70503e419e30.json	cc7fcd9c-8b2d-4fc6-9846-70503e419e30														5
魯、仏、英、阿、亜諸国と条約取極めに付布告	No.: BE00009|帖整理番号: 3|種別: 老中書翰附属同封文書|帖年月次: [1859]|文書番号: 13|元号: 安政|年: 6|月: 6|西暦年: 1859|請求記号: 甲:16:325|コレクション1: 東京大学法学部法制史資料室所蔵コレクション|コレクション2: 英国大使館文書|コレクション3: 幕府及明治政府側よりイギリス公使館宛公文書綴																	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/2678f217-e51b-46f1-994d-7ac97db96799.json	2678f217-e51b-46f1-994d-7ac97db96799														2
神奈川、長崎、箱館三港出稼人心得布告	No.: BE00010|帖整理番号: 3|種別: 老中書翰附属同封文書|帖年月次: [1859]|文書番号: 13|元号: 安政|年: 6|月: 正|西暦年: 1859|請求記号: 甲:16:325|コレクション1: 東京大学法学部法制史資料室所蔵コレクション|コレクション2: 英国大使館文書|コレクション3: 幕府及明治政府側よりイギリス公使館宛公文書綴																	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/0dbd1d60-9f60-44a3-af74-c348ec046791.json	0dbd1d60-9f60-44a3-af74-c348ec046791														1
神奈川、長崎、箱館三港出稼人心得布告	No.: BE00011|帖整理番号: 3|種別: 老中書翰附属同封文書|帖年月次: [1859]|文書番号: 13|元号: 安政|年: 6|月: 5|西暦年: 1859|請求記号: 甲:16:325|コレクション1: 東京大学法学部法制史資料室所蔵コレクション|コレクション2: 英国大使館文書|コレクション3: 幕府及明治政府側よりイギリス公使館宛公文書綴																	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/43c7cd47-5190-4c54-a29c-17559ba3235e.json	43c7cd47-5190-4c54-a29c-17559ba3235e														1
金銀貨幣相場書	No.: BE00012|帖整理番号: 3|種別: 老中書翰附属同封文書|帖年月次: [1859]|文書番号: 21|元号: 安政|年: 6|西暦年: 1859|請求記号: 甲:16:325|コレクション1: 東京大学法学部法制史資料室所蔵コレクション|コレクション2: 英国大使館文書|コレクション3: 幕府及明治政府側よりイギリス公使館宛公文書綴																	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/eaa95f32-28c0-4c72-86f2-b572c2776270.json	eaa95f32-28c0-4c72-86f2-b572c2776270														4
英艦神奈川港にて石炭入用申出に付返書	No.: BE00013|帖整理番号: 3|種別: 老中書翰附属同封文書|帖年月次: [1859]|文書番号: 26|元号: 安政|年: 6|月: 7|西暦年: 1859|差出人1: 酒井隠岐守|差出人2: 村垣淡路守|請求記号: 甲:16:325|コレクション1: 東京大学法学部法制史資料室所蔵コレクション|コレクション2: 英国大使館文書|コレクション3: 幕府及明治政府側よりイギリス公使館宛公文書綴																	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a7e51b9b-4de0-44e7-8ae2-4b6d8dd2af76.json	a7e51b9b-4de0-44e7-8ae2-4b6d8dd2af76														3
貨幣改鋳と新鋳との文意の質疑に答書	No.: BE00014|帖整理番号: 4|種別: 奉行からの書翰|帖年月次: [1859]|文書番号: 24|元号: 安政|年: 6|月: 7|日: 3|西暦年: 1859|宛名: ユステン|宛名原綴: Eusden|差出人1: 士官 森山多吉郎|請求記号: 甲:16:325|コレクション1: 東京大学法学部法制史資料室所蔵コレクション|コレクション2: 英国大使館文書|コレクション3: 幕府及明治政府側よりイギリス公使館宛公文書綴																	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/52d29937-5257-44ab-82d7-e5b50ce55bc7.json	52d29937-5257-44ab-82d7-e5b50ce55bc7														1
セネラール仮偶居東禅寺座席模様替に要する費用清算云々	No.: BE00015|帖整理番号: 4|種別: 奉行からの書翰|帖年月次: [1859]|文書番号: 34|元号: 安政|年: 6|月: 7|日: 18|西暦年: 1859|宛名: エウステン|宛名原綴: Eusden|差出人1: 酒井隠岐守|差出人2: 新見豊前守|差出人3: 村垣淡路守|差出人4: 堀織部正|請求記号: 甲:16:325|コレクション1: 東京大学法学部法制史資料室所蔵コレクション|コレクション2: 英国大使館文書|コレクション3: 幕府及明治政府側よりイギリス公使館宛公文書綴																	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/9375f302-e107-43af-80a1-4b996a60d597.json	9375f302-e107-43af-80a1-4b996a60d597														2
通貨と日本国産と比較の価に付いて云々	No.: BE00016|帖整理番号: 4|種別: 奉行からの書翰|帖年月次: [1859]|文書番号: 33|元号: 安政|年: 6|月: 7|日: 17|西暦年: 1859|宛名: 外国事務宰相|請求記号: 甲:16:325|コレクション1: 東京大学法学部法制史資料室所蔵コレクション|コレクション2: 英国大使館文書|コレクション3: 幕府及明治政府側よりイギリス公使館宛公文書綴																	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/2d3b58d9-dc58-4f28-a672-0fcdd590c776.json	2d3b58d9-dc58-4f28-a672-0fcdd590c776														3
セネラールより新潟へ渡来の英船へ贈らるる書翰落手に付即日発送せし旨返書	No.: BE00017|帖整理番号: 4|種別: 奉行からの書翰|帖年月次: [1859]|文書番号: 49|元号: 安政|年: 6|月: 8|日: 11|西暦年: 1859|宛名: ユーステン|宛名原綴: Eusden|差出人1: 溝口讃岐守|差出人2: 酒井隠岐守|差出人3: 水野筑後守|差出人4: 村垣淡路守|差出人5: 加藤壱岐守|請求記号: 甲:16:325|コレクション1: 東京大学法学部法制史資料室所蔵コレクション|コレクション2: 英国大使館文書|コレクション3: 幕府及明治政府側よりイギリス公使館宛公文書綴																	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/fa43a18f-ae1f-4c50-8dbb-d35ea062662e.json	fa43a18f-ae1f-4c50-8dbb-d35ea062662e														2
通辞河原又兵衛是迄通りの事	No.: BE00018|帖整理番号: 4|種別: 奉行からの書翰|帖年月次: [1859]|文書番号: 51|元号: 安政|年: 6|月: 8|日: 22|西暦年: 1859|宛名: ユースデン|宛名原綴: Eusden|差出人1: 溝口讃岐守|差出人2: 酒井隠岐守|差出人3: 水野筑後守|差出人4: 村垣淡路守|差出人5: 堀織部正|請求記号: 甲:16:325|コレクション1: 東京大学法学部法制史資料室所蔵コレクション|コレクション2: 英国大使館文書|コレクション3: 幕府及明治政府側よりイギリス公使館宛公文書綴																	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/7fec1a12-4265-44f6-abcb-e1d8128c2668.json	7fec1a12-4265-44f6-abcb-e1d8128c2668														3
セネラール付士官宿所を一時上洞菴へ取極云々	No.: BE00019|帖整理番号: 4|種別: 奉行からの書翰|帖年月次: [1859]|文書番号: 58|元号: 安政|年: 6|月: 8|日: 29|西暦年: 1859|宛名: ユースデン|宛名原綴: Eusden|差出人1: 溝口讃岐守|差出人2: 赤松左衛門尉|差出人3: 酒井隠岐守|差出人4: 村垣淡路守|差出人5: 堀織部正|請求記号: 甲:16:325|コレクション1: 東京大学法学部法制史資料室所蔵コレクション|コレクション2: 英国大使館文書|コレクション3: 幕府及明治政府側よりイギリス公使館宛公文書綴																	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/edfa3395-160c-4e27-ab13-7be3acb286f6.json	edfa3395-160c-4e27-ab13-7be3acb286f6														3
コンシエル館付士官病気療養の熱海へ逗留申出に付許可の通知	No.: BE00020|帖整理番号: 4|種別: 奉行からの書翰|帖年月次: [1859]|文書番号: 61|元号: 安政|年: 6|月: 9|日: 8|西暦年: 1859|宛名: ユーステン|宛名原綴: Eusden|差出人1: 赤松左衛門尉|差出人2: 酒井隠岐守|差出人3: 村垣淡路守|差出人4: 堀織部正|請求記号: 甲:16:325|コレクション1: 東京大学法学部法制史資料室所蔵コレクション|コレクション2: 英国大使館文書|コレクション3: 幕府及明治政府側よりイギリス公使館宛公文書綴																	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f0998ff9-0225-410a-b5da-0e40458dcfe7.json	f0998ff9-0225-410a-b5da-0e40458dcfe7														2
