タイトル,分類1,分類2,解説1,第一中学本,図版番号,開成学校本,キーワード,サイズ,帝国大学本,タイトル2,東京大学本,解説2,解説3,解説4,解説5,解説6,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
PL.10 MÉCANIQUE No.10,MÉCANIQUE,No.10,ENGRENAGES,○,PL.10,―,機械部品,A3,―,ÉTUDES DE DESSIN AU LAVIS.,○,CRIC DE MANŒUVRE DE VANNE. (Ex&eacute;cut&eacute; par l'Auteur dans les Ecluses de la Haute-Seine.) Grandeur d'ex&eacute;cution.,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/1920049d-73ae-9707-76c4-2927c51aa66b.json,1920049d-73ae-9707-76c4-2927c51aa66b,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/1920049d-73ae-9707-76c4-2927c51aa66b,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/be1ab548f64048bf14d54a92f90923120fa1fedb.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541671,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,010,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/1920049d-73ae-9707-76c4-2927c51aa66b/manifest,,,,,1
PL.11 MÉCANIQUE No.11,MÉCANIQUE,No.11,ARTICULATIONS.,○,PL.11,―,機械部品,A3,―,ÉTUDES DE DESSIN AU LAVIS.,○,ARTICULATION D'UNE BARRE D'EXCENTRIQUE et d'une TIGE de TIROIR &agrave; VAPEUR. (Grandeur d'ex&eacute;cution.),,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8ac3a0bf-59bc-55e2-96be-8533ee7d42b2.json,8ac3a0bf-59bc-55e2-96be-8533ee7d42b2,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/8ac3a0bf-59bc-55e2-96be-8533ee7d42b2,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0a0a54594968e4558e632d61107c889354f795ba.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541670,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,011,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8ac3a0bf-59bc-55e2-96be-8533ee7d42b2/manifest,,,,,1
PL.12 MÉCANIQUE No.12,MÉCANIQUE,No.12,EXCENTRIQUES,○,PL.12,―,機械部品,A3,―,ÉTUDES DE DESSIN AU LAVIS.,○,"MOD&Egrave;LE D'UN EXCENTRIQUE DE LOCOMOTIVES. (Partie du m&eacute;canisme de distribution de la vapeur.) Echelle de 1/2 ou de 0m, 50 pour m&egrave;tre.",,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ddd9ec1e-46cf-068d-770f-59bab63b92b8.json,ddd9ec1e-46cf-068d-770f-59bab63b92b8,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/ddd9ec1e-46cf-068d-770f-59bab63b92b8,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/28c886c45d83277183129908b34def6403800529.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541669,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,012,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ddd9ec1e-46cf-068d-770f-59bab63b92b8/manifest,,,,,1
PL.13 MÉCANIQUE No.13,MÉCANIQUE,No.13,ENGRENAGES DROITS OU CYLINDRIQUES,○,PL.13,―,機械部品,A3,―,ÉTUDES DE DESSIN AU LAVIS.,○,DESSIN D'UN PIGNON MONT&Eacute; SUR SON ARBRE DE ROTATION,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/0b84719a-141a-a44b-8f88-f6169768a37e.json,0b84719a-141a-a44b-8f88-f6169768a37e,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/0b84719a-141a-a44b-8f88-f6169768a37e,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f0a6714970a1df0b9c36df3b29473244f776c26d.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541668,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,013,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0b84719a-141a-a44b-8f88-f6169768a37e/manifest,,,,,1
PL.14 MÉCANIQUE No.14,MÉCANIQUE,No.14,GUIDES DU MOUVEMENT CIRCULAIRE,○,PL.14,―,機械部品,A3,―,ÉTUDES DE DESSIN AU LAVIS.,○,"MOD&Egrave;LE D'UN PALIER. (Pour tourillons de 0m, 05 de diam&egrave;tre.)",,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/bc5669cb-49e4-3cdf-554b-7aa2716c1020.json,bc5669cb-49e4-3cdf-554b-7aa2716c1020,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/bc5669cb-49e4-3cdf-554b-7aa2716c1020,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/549a43d2d1cd96fc9868a4d03704ea4ca0d2b9c4.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541667,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,014,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/bc5669cb-49e4-3cdf-554b-7aa2716c1020/manifest,,,,,1
PL.15 MÉCANIQUE No.15,MÉCANIQUE,No.15,GUIDES DU MOUVEMENT CIRCULAIRE,○,PL.15,―,機械部品,A3,―,ÉTUDES DE DESSIN AU LAVIS.,○,DESSIN DE CONSOLES - SUPPORTS D'ARBRES DE TRANSMISSION DU MOUVEMENT.,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c6bb8ad1-0520-1144-1c81-bf7488758ab5.json,c6bb8ad1-0520-1144-1c81-bf7488758ab5,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/c6bb8ad1-0520-1144-1c81-bf7488758ab5,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/dab20347ab22523ac1b24f36ae74dbd6d9a5d8fb.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541666,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,015,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c6bb8ad1-0520-1144-1c81-bf7488758ab5/manifest,,,,,1
PL.16 MÉCANIQUE No.16,MÉCANIQUE,No.16,MACHINE LOCOMOTIVE,○,PL.16,―,蒸気機関車,A3,―,-,○,"DESSIN SIMPLIFI&Eacute; DES MACHINES &Agrave; SIX ROUES ACCOUPL&Eacute;ES ET &Agrave; CYLINDRES INT&Eacute;RIEURS, construites sur les plans de M. l'Ing&eacute;nieur C. Polonceau. (Chemin de fer de Paris &agrave; Orl&eacute;ans.)",,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/2d09bf95-9005-0868-28b6-21731fc80411.json,2d09bf95-9005-0868-28b6-21731fc80411,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/2d09bf95-9005-0868-28b6-21731fc80411,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/9301a9aef03b04b54e3a2aa491d43a3f3acc1afe.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541665,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,016,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/2d09bf95-9005-0868-28b6-21731fc80411/manifest,,,,,1
PL.17 MAÇONNERIE No.1,MAÇONNERIE,No.1,ÉPURE DE LA TÉTE D'AVAL D'UN PONCEAU AVEC MURS EN AILE.,○,PL.17,―,石橋,A3,○,-,―,Ponceau ex&eacute;cut&eacute; par l'Auteur dans les travaux de navigation de la Seine.,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/7fd6aee5-6731-6e96-102b-eb6f8028764b.json,7fd6aee5-6731-6e96-102b-eb6f8028764b,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/7fd6aee5-6731-6e96-102b-eb6f8028764b,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a8c6c8cf156f575839a7e3847e34f17df8efa843.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541664,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,017,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/7fd6aee5-6731-6e96-102b-eb6f8028764b/manifest,,,,,1
PL.18 CHARPENTE No.1,CHARPENTE,No.1,COMBLES,○,PL.18,―,屋根組み,A3,○,-,―,&Eacute;TUDE D'UN COMBLE SIMPLE EN BOIS (de ch&egrave;ne),,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4e4c7591-7a68-1b1f-300a-5dd6c9bc51fb.json,4e4c7591-7a68-1b1f-300a-5dd6c9bc51fb,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/4e4c7591-7a68-1b1f-300a-5dd6c9bc51fb,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/bd3f8f5488c9f1989d440e92d675e5cf27c3fc17.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541663,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,018,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4e4c7591-7a68-1b1f-300a-5dd6c9bc51fb/manifest,,,,,1
PL.19 MÉCANIQUE No.17,MÉCANIQUE,No.17,MARTEAUX DE FORGES,○,PL.19,―,機械/蒸気ハンマー,A3,―,ÉTUDES DE DESSIN AU LAVIS.,○,MARTEAU FRONTAL POUR LE CINGLAGE DES LOUPES DE FER PUDDL&Eacute;.,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/2a75a3d6-1855-663b-72dd-f8310b394a31.json,2a75a3d6-1855-663b-72dd-f8310b394a31,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/2a75a3d6-1855-663b-72dd-f8310b394a31,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c0ec4d6b22841376823c4978d3056b650c83f8e9.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541662,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,019,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/2a75a3d6-1855-663b-72dd-f8310b394a31/manifest,,,,,1
