タイトル,概要,flickr,データのタイトル,データの識別子,著作のタイトル,著作の責任,著作の時期,著作の年,著作の構成,バージョンの責任,バージョンの成立時期,バージョンの成立年,バージョンの技法,バージョンの大きさ（縦×横）,バージョンの行字数,資料化の技法,外題,数量,装訂,大きさ（縦×横）,印記,出所,状態,請求記号,原簿番号,付加的記載,参考文献,資料化の時期,資料化の年,バージョンの成立場所,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
増広竜龕手鑑 八 [A005902-07],日本古活字本の漢籍。南葵文庫。,https://www.flickr.com/photos/asianresearchlibrary/sets/72157666710204728,増広竜龕手鑑八巻 Zengguang Longkan Shoujian 8 juan 增广龙龛手鉴八卷 增廣龍龕手鑑八卷,A005902,"(巻首題)竜龕手鑑, (巻六首題)増広竜龕手鑑",(遼)行均撰,(遼)統和15年,997年,8巻,,(日本)元和年間,1615-1624年,古活字版,(内框)23.0×16.9cm,10行行16字,印本,,7冊,"線装, 四針眼釘法",27.0×19.8cm,"東京帝国大学図書印, 紀伊徳川南葵文庫, 陽春廬記","小中村清矩旧蔵, 徳川慶喜旧蔵, 東京大学総合図書館所蔵","虫損あり, シミあり",A00-5902,B45901,,,(日本)元和年間,1615-1624年,,5cab7665-69a3-4729-9f49-5172d4941629,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/document/5cab7665-69a3-4729-9f49-5172d4941629,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/186430/38993017930_baecdb54cf_o.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/186430,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,漢籍・碑帖拓本資料,A005902-07,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/186430/manifest,,,,,101
星鳳楼帖 子 [A005935-01],中国で刊行された法帖。南葵文庫。,https://www.flickr.com/photos/asianresearchlibrary/sets/72157681676772764/,星鳳楼帖十二巻 Xingfenglou Tie 12 juan 星凤楼帖十二卷 星鳳樓帖十二卷,A005935,(巻首題)星鳳楼帖,,明末期*,16-17世紀*,12巻,,,,石刻,,,拓本,,12冊,画帖装,32.8×19.9cm,"東京帝国大学図書印, 旧和歌山徳川氏蔵, 紀伊徳川南葵文庫","徳川慶喜旧蔵, 東京大学総合図書館所蔵",,A00-5935,,,"*宇野雪村『法帖事典』上 : 本論編, 東京, 雄山閣, 1984, pp.84-85",,,,5c0fb38a-56b5-4429-a781-f58f439b3485,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/document/5c0fb38a-56b5-4429-a781-f58f439b3485,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/167776/default.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/167776,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,漢籍・碑帖拓本資料,A005935-01,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/167776/manifest,,,,,20
星鳳楼帖 丑 [A005935-02],中国で刊行された法帖。南葵文庫。,https://www.flickr.com/photos/asianresearchlibrary/sets/72157681676752364/,星鳳楼帖十二巻 Xingfenglou Tie 12 juan 星凤楼帖十二卷 星鳳樓帖十二卷,A005935,(巻首題)星鳳楼帖,,明末期*,16-17世紀*,12巻,,,,石刻,,,拓本,,12冊,画帖装,32.8×19.9cm,"東京帝国大学図書印, 旧和歌山徳川氏蔵, 紀伊徳川南葵文庫","徳川慶喜旧蔵, 東京大学総合図書館所蔵",,A00-5935,,,"*宇野雪村『法帖事典』上 : 本論編, 東京, 雄山閣, 1984, pp.84-85",,,,a1311f89-db6f-4d3a-b8fd-9081bcad72e9,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/document/a1311f89-db6f-4d3a-b8fd-9081bcad72e9,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/167777/default.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/167777,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,漢籍・碑帖拓本資料,A005935-02,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/167777/manifest,,,,,19
星鳳楼帖 寅 [A005935-03],中国で刊行された法帖。南葵文庫。,https://www.flickr.com/photos/asianresearchlibrary/sets/72157684624232726/,星鳳楼帖十二巻 Xingfenglou Tie 12 juan 星凤楼帖十二卷 星鳳樓帖十二卷,A005935,(巻首題)星鳳楼帖,,明末期*,16-17世紀*,12巻,,,,石刻,,,拓本,,12冊,画帖装,32.8×19.9cm,"東京帝国大学図書印, 旧和歌山徳川氏蔵, 紀伊徳川南葵文庫","徳川慶喜旧蔵, 東京大学総合図書館所蔵",,A00-5935,,,"*宇野雪村『法帖事典』上 : 本論編, 東京, 雄山閣, 1984, pp.84-85",,,,bb01b485-5686-4175-8bc8-77de799d4718,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/document/bb01b485-5686-4175-8bc8-77de799d4718,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/167778/default.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/167778,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,漢籍・碑帖拓本資料,A005935-03,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/167778/manifest,,,,,20
星鳳楼帖 卯 [A005935-04],中国で刊行された法帖。南葵文庫。,https://www.flickr.com/photos/asianresearchlibrary/sets/72157682480255891/,星鳳楼帖十二巻 Xingfenglou Tie 12 juan 星凤楼帖十二卷 星鳳樓帖十二卷,A005935,(巻首題)星鳳楼帖,,明末期*,16-17世紀*,12巻,,,,石刻,,,拓本,,12冊,画帖装,32.8×19.9cm,"東京帝国大学図書印, 旧和歌山徳川氏蔵, 紀伊徳川南葵文庫","徳川慶喜旧蔵, 東京大学総合図書館所蔵",,A00-5935,,,"*宇野雪村『法帖事典』上 : 本論編, 東京, 雄山閣, 1984, pp.84-85",,,,f30080b8-e0fc-448f-bf27-b3c6f1a9323b,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/document/f30080b8-e0fc-448f-bf27-b3c6f1a9323b,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/167779/default.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/167779,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,漢籍・碑帖拓本資料,A005935-04,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/167779/manifest,,,,,18
星鳳楼帖 辰 [A005935-05],中国で刊行された法帖。南葵文庫。,https://www.flickr.com/photos/asianresearchlibrary/sets/72157684624171676/,星鳳楼帖十二巻 Xingfenglou Tie 12 juan 星凤楼帖十二卷 星鳳樓帖十二卷,A005935,(巻首題)星鳳楼帖,,明末期*,16-17世紀*,12巻,,,,石刻,,,拓本,,12冊,画帖装,32.8×19.9cm,"東京帝国大学図書印, 旧和歌山徳川氏蔵, 紀伊徳川南葵文庫","徳川慶喜旧蔵, 東京大学総合図書館所蔵",,A00-5935,,,"*宇野雪村『法帖事典』上 : 本論編, 東京, 雄山閣, 1984, pp.84-85",,,,3f7874e7-eabb-41c8-a277-98c2267deebc,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/document/3f7874e7-eabb-41c8-a277-98c2267deebc,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/167780/default.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/167780,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,漢籍・碑帖拓本資料,A005935-05,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/167780/manifest,,,,,22
星鳳楼帖 巳 [A005935-06],中国で刊行された法帖。南葵文庫。,https://www.flickr.com/photos/asianresearchlibrary/sets/72157681775080242/,星鳳楼帖十二巻 Xingfenglou Tie 12 juan 星凤楼帖十二卷 星鳳樓帖十二卷,A005935,(巻首題)星鳳楼帖,,明末期*,16-17世紀*,12巻,,,,石刻,,,拓本,,12冊,画帖装,32.8×19.9cm,"東京帝国大学図書印, 旧和歌山徳川氏蔵, 紀伊徳川南葵文庫","徳川慶喜旧蔵, 東京大学総合図書館所蔵",,A00-5935,,,"*宇野雪村『法帖事典』上 : 本論編, 東京, 雄山閣, 1984, pp.84-85",,,,1d5e9e9f-1b76-4415-b796-192b7fd3950e,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/document/1d5e9e9f-1b76-4415-b796-192b7fd3950e,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/167781/default.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/167781,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,漢籍・碑帖拓本資料,A005935-06,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/167781/manifest,,,,,16
星鳳楼帖 午 [A005935-07],中国で刊行された法帖。南葵文庫。,https://www.flickr.com/photos/asianresearchlibrary/sets/72157682480171871/,星鳳楼帖十二巻 Xingfenglou Tie 12 juan 星凤楼帖十二卷 星鳳樓帖十二卷,A005935,(巻首題)星鳳楼帖,,明末期*,16-17世紀*,12巻,,,,石刻,,,拓本,,12冊,画帖装,32.8×19.9cm,"東京帝国大学図書印, 旧和歌山徳川氏蔵, 紀伊徳川南葵文庫","徳川慶喜旧蔵, 東京大学総合図書館所蔵",,A00-5935,,,"*宇野雪村『法帖事典』上 : 本論編, 東京, 雄山閣, 1984, pp.84-85",,,,6bd1ea8d-8bf2-4452-9c1e-f5e7a03ac76e,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/document/6bd1ea8d-8bf2-4452-9c1e-f5e7a03ac76e,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/167782/default.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/167782,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,漢籍・碑帖拓本資料,A005935-07,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/167782/manifest,,,,,19
星鳳楼帖 未 [A005935-08],中国で刊行された法帖。南葵文庫。,https://www.flickr.com/photos/asianresearchlibrary/sets/72157681676542914/,星鳳楼帖十二巻 Xingfenglou Tie 12 juan 星凤楼帖十二卷 星鳳樓帖十二卷,A005935,(巻首題)星鳳楼帖,,明末期*,16-17世紀*,12巻,,,,石刻,,,拓本,,12冊,画帖装,32.8×19.9cm,"東京帝国大学図書印, 旧和歌山徳川氏蔵, 紀伊徳川南葵文庫","徳川慶喜旧蔵, 東京大学総合図書館所蔵",,A00-5935,,,"*宇野雪村『法帖事典』上 : 本論編, 東京, 雄山閣, 1984, pp.84-85",,,,7e4417f6-9f27-4a62-b1a6-261d86009f99,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/document/7e4417f6-9f27-4a62-b1a6-261d86009f99,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/167783/default.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/167783,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,漢籍・碑帖拓本資料,A005935-08,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/167783/manifest,,,,,18
星鳳楼帖 申 [A005935-09],中国で刊行された法帖。南葵文庫。,https://www.flickr.com/photos/asianresearchlibrary/sets/72157684721043335/,星鳳楼帖十二巻 Xingfenglou Tie 12 juan 星凤楼帖十二卷 星鳳樓帖十二卷,A005935,(巻首題)星鳳楼帖,,明末期*,16-17世紀*,12巻,,,,石刻,,,拓本,,12冊,画帖装,32.8×19.9cm,"東京帝国大学図書印, 旧和歌山徳川氏蔵, 紀伊徳川南葵文庫","徳川慶喜旧蔵, 東京大学総合図書館所蔵",,A00-5935,,,"*宇野雪村『法帖事典』上 : 本論編, 東京, 雄山閣, 1984, pp.84-85",,,,c8f7098c-3af9-4c1f-9b96-8c5bcba6f312,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/document/c8f7098c-3af9-4c1f-9b96-8c5bcba6f312,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/167784/default.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/167784,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,漢籍・碑帖拓本資料,A005935-09,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/167784/manifest,,,,,19
星鳳楼帖 酉 [A005935-10],中国で刊行された法帖。南葵文庫。,https://www.flickr.com/photos/asianresearchlibrary/sets/72157681676298644/,星鳳楼帖十二巻 Xingfenglou Tie 12 juan 星凤楼帖十二卷 星鳳樓帖十二卷,A005935,(巻首題)星鳳楼帖,,明末期*,16-17世紀*,12巻,,,,石刻,,,拓本,,12冊,画帖装,32.8×19.9cm,"東京帝国大学図書印, 旧和歌山徳川氏蔵, 紀伊徳川南葵文庫","徳川慶喜旧蔵, 東京大学総合図書館所蔵",,A00-5935,,,"*宇野雪村『法帖事典』上 : 本論編, 東京, 雄山閣, 1984, pp.84-85",,,,a8cffe8e-aa4e-4fa6-a1ee-813596a31e29,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/document/a8cffe8e-aa4e-4fa6-a1ee-813596a31e29,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/167785/default.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/167785,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,漢籍・碑帖拓本資料,A005935-10,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/167785/manifest,,,,,18
星鳳楼帖 戌 [A005935-11],中国で刊行された法帖。南葵文庫。,https://www.flickr.com/photos/asianresearchlibrary/sets/72157684623655076/,星鳳楼帖十二巻 Xingfenglou Tie 12 juan 星凤楼帖十二卷 星鳳樓帖十二卷,A005935,(巻首題)星鳳楼帖,,明末期*,16-17世紀*,12巻,,,,石刻,,,拓本,,12冊,画帖装,32.8×19.9cm,"東京帝国大学図書印, 旧和歌山徳川氏蔵, 紀伊徳川南葵文庫","徳川慶喜旧蔵, 東京大学総合図書館所蔵",,A00-5935,,,"*宇野雪村『法帖事典』上 : 本論編, 東京, 雄山閣, 1984, pp.84-85",,,,63266b78-b443-4113-aa79-006271fc7df2,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/document/63266b78-b443-4113-aa79-006271fc7df2,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/167786/default.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/167786,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,漢籍・碑帖拓本資料,A005935-11,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/167786/manifest,,,,,16
星鳳楼帖 亥 [A005935-12],中国で刊行された法帖。南葵文庫。,https://www.flickr.com/photos/asianresearchlibrary/sets/72157681675953324/,星鳳楼帖十二巻 Xingfenglou Tie 12 juan 星凤楼帖十二卷 星鳳樓帖十二卷,A005935,(巻首題)星鳳楼帖,,明末期*,16-17世紀*,12巻,,,,石刻,,,拓本,,12冊,画帖装,32.8×19.9cm,"東京帝国大学図書印, 旧和歌山徳川氏蔵, 紀伊徳川南葵文庫","徳川慶喜旧蔵, 東京大学総合図書館所蔵",,A00-5935,,,"*宇野雪村『法帖事典』上 : 本論編, 東京, 雄山閣, 1984, pp.84-85",,,,63584f62-96fd-4bb9-849b-083898dcc30f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/document/63584f62-96fd-4bb9-849b-083898dcc30f,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/167787/default.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/167787,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,漢籍・碑帖拓本資料,A005935-12,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/167787/manifest,,,,,18
偽絳帖 一 [A005936-01],中国で刊行された法帖。南葵文庫。,https://www.flickr.com/photos/asianresearchlibrary/sets/72157681673531634/,偽絳帖十二巻 Wei Jiang Tie 12 juan 伪绛帖十二卷 偽絳帖十二卷,A005936,(巻首題)絳帖,,明*,14-17世紀*,12巻,,,,石刻,,,拓本,絳帖,12冊,画帖装,33.4×20.0cm,"東京帝国大学図書印, 紀伊徳川南葵文庫","徳川慶喜旧蔵, 東京大学総合図書館所蔵",,A00-5936,,,"*宇野雪村『法帖事典』上 : 本論編, 東京, 雄山閣, 1984, pp.79-81",,,,3cedbad2-d9cc-42c5-bfa3-2e226925fb5f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/document/3cedbad2-d9cc-42c5-bfa3-2e226925fb5f,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/167788/default.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/167788,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,漢籍・碑帖拓本資料,A005936-01,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/167788/manifest,,,,,20
偽絳帖 二 [A005936-02],中国で刊行された法帖。南葵文庫。,https://www.flickr.com/photos/asianresearchlibrary/sets/72157681673473804/,偽絳帖十二巻 Wei Jiang Tie 12 juan 伪绛帖十二卷 偽絳帖十二卷,A005936,(巻首題)絳帖,,明*,14-17世紀*,12巻,,,,石刻,,,拓本,絳帖,12冊,画帖装,33.4×20.0cm,"東京帝国大学図書印, 紀伊徳川南葵文庫","徳川慶喜旧蔵, 東京大学総合図書館所蔵",,A00-5936,,,"*宇野雪村『法帖事典』上 : 本論編, 東京, 雄山閣, 1984, pp.79-81",,,,db450085-4784-4494-859f-0c86704e7784,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/document/db450085-4784-4494-859f-0c86704e7784,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/167789/default.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/167789,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,漢籍・碑帖拓本資料,A005936-02,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/167789/manifest,,,,,17
偽絳帖 三 [A005936-03],中国で刊行された法帖。南葵文庫。,https://www.flickr.com/photos/asianresearchlibrary/sets/72157684621430326/,偽絳帖十二巻 Wei Jiang Tie 12 juan 伪绛帖十二卷 偽絳帖十二卷,A005936,(巻首題)絳帖,,明*,14-17世紀*,12巻,,,,石刻,,,拓本,絳帖,12冊,画帖装,33.4×20.0cm,"東京帝国大学図書印, 紀伊徳川南葵文庫","徳川慶喜旧蔵, 東京大学総合図書館所蔵",,A00-5936,,,"*宇野雪村『法帖事典』上 : 本論編, 東京, 雄山閣, 1984, pp.79-81",,,,f58ea819-fffb-4fcb-889c-61a332e0474a,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/document/f58ea819-fffb-4fcb-889c-61a332e0474a,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/167790/default.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/167790,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,漢籍・碑帖拓本資料,A005936-03,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/167790/manifest,,,,,20
偽絳帖 四 [A005936-04],中国で刊行された法帖。南葵文庫。,https://www.flickr.com/photos/asianresearchlibrary/sets/72157681764739413/,偽絳帖十二巻 Wei Jiang Tie 12 juan 伪绛帖十二卷 偽絳帖十二卷,A005936,(巻首題)絳帖,,明*,14-17世紀*,12巻,,,,石刻,,,拓本,絳帖,12冊,画帖装,33.4×20.0cm,"東京帝国大学図書印, 紀伊徳川南葵文庫","徳川慶喜旧蔵, 東京大学総合図書館所蔵",,A00-5936,,,"*宇野雪村『法帖事典』上 : 本論編, 東京, 雄山閣, 1984, pp.79-81",,,,048ba05d-2b78-43e9-86de-3beb52d20f41,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/document/048ba05d-2b78-43e9-86de-3beb52d20f41,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/167791/default.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/167791,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,漢籍・碑帖拓本資料,A005936-04,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/167791/manifest,,,,,16
偽絳帖 五 [A005936-05],中国で刊行された法帖。南葵文庫。,https://www.flickr.com/photos/asianresearchlibrary/sets/72157682477405511/,偽絳帖十二巻 Wei Jiang Tie 12 juan 伪绛帖十二卷 偽絳帖十二卷,A005936,(巻首題)絳帖,,明*,14-17世紀*,12巻,,,,石刻,,,拓本,絳帖,12冊,画帖装,33.4×20.0cm,"東京帝国大学図書印, 紀伊徳川南葵文庫","徳川慶喜旧蔵, 東京大学総合図書館所蔵",,A00-5936,,,"*宇野雪村『法帖事典』上 : 本論編, 東京, 雄山閣, 1984, pp.79-81",,,,a00a6085-d3f2-4461-b32a-c0e6130b3aee,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/document/a00a6085-d3f2-4461-b32a-c0e6130b3aee,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/167792/default.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/167792,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,漢籍・碑帖拓本資料,A005936-05,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/167792/manifest,,,,,18
偽絳帖 六 [A005936-06],中国で刊行された法帖。南葵文庫。,https://www.flickr.com/photos/asianresearchlibrary/sets/72157682477249281/,偽絳帖十二巻 Wei Jiang Tie 12 juan 伪绛帖十二卷 偽絳帖十二卷,A005936,(巻首題)絳帖,,明*,14-17世紀*,12巻,,,,石刻,,,拓本,絳帖,12冊,画帖装,33.4×20.0cm,"東京帝国大学図書印, 紀伊徳川南葵文庫","徳川慶喜旧蔵, 東京大学総合図書館所蔵",,A00-5936,,,"*宇野雪村『法帖事典』上 : 本論編, 東京, 雄山閣, 1984, pp.79-81",,,,331467d8-d9cf-4f43-a874-18b2a36238b6,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/document/331467d8-d9cf-4f43-a874-18b2a36238b6,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/167793/default.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/167793,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,漢籍・碑帖拓本資料,A005936-06,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/167793/manifest,,,,,16
