タイトル,巻号,西暦,発行日,発行機関,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
函館商業会議所報 第154号 大正8年1月20日,第154号,1919,大正8年1月20日,函館商業会議所,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/1afa5562-2e84-6578-19ba-cc1275848b91.json,1afa5562-2e84-6578-19ba-cc1275848b91,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ/document/1afa5562-2e84-6578-19ba-cc1275848b91,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/e990237efb54ae1fef6cb6a0302271ef8ad44896.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/612847,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵経済学関係資料,0010,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/1afa5562-2e84-6578-19ba-cc1275848b91/manifest,,,,,23
函館商業会議所報 第155号 大正8年2月20日,第155号,1919,大正8年2月20日,函館商業会議所,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/1cb572f5-7fc6-3a4c-5bda-f14b40a1132f.json,1cb572f5-7fc6-3a4c-5bda-f14b40a1132f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ/document/1cb572f5-7fc6-3a4c-5bda-f14b40a1132f,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/bc6d91262548b9b255b2338b77ffbf761240300c.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/612846,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵経済学関係資料,0011,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/1cb572f5-7fc6-3a4c-5bda-f14b40a1132f/manifest,,,,,23
函館商業会議所報 第156号 大正8年3月20日,第156号,1919,大正8年3月20日,函館商業会議所,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/bf76d567-a5b2-536a-995b-d5c0b2cc1333.json,bf76d567-a5b2-536a-995b-d5c0b2cc1333,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ/document/bf76d567-a5b2-536a-995b-d5c0b2cc1333,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/1c2313a12d56db1eafbea798114f95287e5c2319.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/612845,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵経済学関係資料,0012,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/bf76d567-a5b2-536a-995b-d5c0b2cc1333/manifest,,,,,22
函館商業会議所報 第157号 大正8年4月20日,第157号,1919,大正8年4月20日,函館商業会議所,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/67263d03-6192-3957-50a8-ee18e0499242.json,67263d03-6192-3957-50a8-ee18e0499242,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ/document/67263d03-6192-3957-50a8-ee18e0499242,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/27b5309eaff739c0609fabff5070065bfbf9ff2a.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/612844,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵経済学関係資料,0013,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/67263d03-6192-3957-50a8-ee18e0499242/manifest,,,,,21
函館商業会議所報 第158号 大正8年5月20日,第158号,1919,大正8年5月20日,函館商業会議所,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/407d850b-73da-2a54-6c6e-73b40d868c94.json,407d850b-73da-2a54-6c6e-73b40d868c94,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ/document/407d850b-73da-2a54-6c6e-73b40d868c94,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f404488e517f77db8b35fca5477b4141961804ed.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/612843,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵経済学関係資料,0014,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/407d850b-73da-2a54-6c6e-73b40d868c94/manifest,,,,,22
函館商業会議所報 第160号 大正8年7月20日,第160号,1919,大正8年7月20日,函館商業会議所,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/572a24d4-70c0-54b1-28b2-47cc51a12f62.json,572a24d4-70c0-54b1-28b2-47cc51a12f62,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ/document/572a24d4-70c0-54b1-28b2-47cc51a12f62,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/94f918a735fb1b7f124d7c3595fdd583c17d6655.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/612842,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵経済学関係資料,0015,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/572a24d4-70c0-54b1-28b2-47cc51a12f62/manifest,,,,,19
函館商業会議所報 第161号 大正8年8月20日,第161号,1919,大正8年8月20日,函館商業会議所,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5bad1926-46ea-5bd5-553b-6b4aeda59267.json,5bad1926-46ea-5bd5-553b-6b4aeda59267,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ/document/5bad1926-46ea-5bd5-553b-6b4aeda59267,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/87ca844bd4698388264afb803e60cbdb4c3a26bd.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/612841,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵経済学関係資料,0016,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5bad1926-46ea-5bd5-553b-6b4aeda59267/manifest,,,,,23
函館商業会議所報 第162号 大正8年9月20日,第162号,1919,大正8年9月20日,函館商業会議所,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/7e159b92-16fc-0715-3fcb-2c76259946cc.json,7e159b92-16fc-0715-3fcb-2c76259946cc,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ/document/7e159b92-16fc-0715-3fcb-2c76259946cc,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/4260855449b1c1f5df880739c9b7003cf89cd9b9.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/612840,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵経済学関係資料,0017,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/7e159b92-16fc-0715-3fcb-2c76259946cc/manifest,,,,,21
函館商業会議所報 第163号 大正8年10月20日,第163号,1919,大正8年10月20日,函館商業会議所,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c671648f-3cdf-8e76-19c4-72f9e2507e70.json,c671648f-3cdf-8e76-19c4-72f9e2507e70,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ/document/c671648f-3cdf-8e76-19c4-72f9e2507e70,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/060e1adbbbe2d197685d6050f5d4d93d0753610a.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/612839,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵経済学関係資料,0018,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c671648f-3cdf-8e76-19c4-72f9e2507e70/manifest,,,,,25
函館商業会議所報 第164号 大正8年11月20日,第164号,1919,大正8年11月20日,函館商業会議所,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/349e5034-80ef-2112-4775-4ee7282b0b87.json,349e5034-80ef-2112-4775-4ee7282b0b87,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ/document/349e5034-80ef-2112-4775-4ee7282b0b87,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b720484ff777e8cad722fe59e9ce4997e53b9ed3.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/612838,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵経済学関係資料,0019,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/349e5034-80ef-2112-4775-4ee7282b0b87/manifest,,,,,23
函館商業会議所報 第165号 大正8年12月20日,第165号,1919,大正8年12月20日,函館商業会議所,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/731a5b76-2df9-66ba-1992-f7b938f21a5d.json,731a5b76-2df9-66ba-1992-f7b938f21a5d,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ/document/731a5b76-2df9-66ba-1992-f7b938f21a5d,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/74b08798d54678e11379c29e3af359b65ac0250f.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/612837,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵経済学関係資料,0020,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/731a5b76-2df9-66ba-1992-f7b938f21a5d/manifest,,,,,26
函館商業会議所報 第166号 大正9年1月20日,第166号,1920,大正9年1月20日,函館商業会議所,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/738be4d8-14f4-23fd-06e6-88eb6be06832.json,738be4d8-14f4-23fd-06e6-88eb6be06832,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ/document/738be4d8-14f4-23fd-06e6-88eb6be06832,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/5332421ebe9ba84813729ee8c982f0515ba143ac.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/612836,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵経済学関係資料,0021,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/738be4d8-14f4-23fd-06e6-88eb6be06832/manifest,,,,,20
函館商業会議所報 第167号 大正9年2月20日,第167号,1920,大正9年2月20日,函館商業会議所,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/96854c35-7f0d-3931-4347-b4d5f0111259.json,96854c35-7f0d-3931-4347-b4d5f0111259,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ/document/96854c35-7f0d-3931-4347-b4d5f0111259,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/7bc50c62adc9b840c96ca34a4ace778be40eaad7.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/612835,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵経済学関係資料,0022,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/96854c35-7f0d-3931-4347-b4d5f0111259/manifest,,,,,29
函館商業会議所報 第168号 大正9年3月20日,第168号,1920,大正9年3月20日,函館商業会議所,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/78523fab-824a-2297-9ca2-2c8bd48b797a.json,78523fab-824a-2297-9ca2-2c8bd48b797a,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ/document/78523fab-824a-2297-9ca2-2c8bd48b797a,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/00503a970786bfff68be96cc66554f02165bee6f.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/612834,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵経済学関係資料,0023,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/78523fab-824a-2297-9ca2-2c8bd48b797a/manifest,,,,,27
函館商業会議所報 第169号 大正9年4月20日,第169号,1920,大正9年4月20日,函館商業会議所,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4a42c60c-537f-a692-8ae0-071600a139c6.json,4a42c60c-537f-a692-8ae0-071600a139c6,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/soto_econ/document/4a42c60c-537f-a692-8ae0-071600a139c6,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/585da64619199f210ecde2b58001ba541a2e0fc6.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/612833,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵経済学関係資料,0024,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4a42c60c-537f-a692-8ae0-071600a139c6/manifest,,,,,28
