表題,種別,コレクション名,請求記号,タイトルヨミ,日付,号,面,備考,出版社,出版地,封筒,画像注記,差出,宛,編著者,年月日,サイズ,シリーズ名,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
改進新聞 明治18(1885)年10月29日,新聞,宮武外骨蒐集資料(改進新聞),N11-6-2,カイシンシンブン,1885-10-29,789,1-4,,三益社,東京,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/84d2574f-2a3d-6ec5-571d-6d2df0d91dad.json,84d2574f-2a3d-6ec5-571d-6d2df0d91dad,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/84d2574f-2a3d-6ec5-571d-6d2df0d91dad,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/5cb8e7f3ef5adecf50cd4fa2d8c535fbb791fdf8.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/416186,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/84d2574f-2a3d-6ec5-571d-6d2df0d91dad/manifest,,,,,4
牝馬を牡馬に見せるな 仙臺區長の注意,静止画資料,宮武外骨蒐集資料(府藩県制史関係),GF:12:8,,,,,,,,宮城県,,,,,[明治]14年8月9日,1枚 13×10cm,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/69eee5c0-4f4f-6b96-5758-097d0ca64f72.json,69eee5c0-4f4f-6b96-5758-097d0ca64f72,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/69eee5c0-4f4f-6b96-5758-097d0ca64f72,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/87537dffd27d3ae98715b01956c83abaab23d0d3.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/422573,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/69eee5c0-4f4f-6b96-5758-097d0ca64f72/manifest,,,,,1
改進新聞 明治21(1888)年3月27日,新聞,宮武外骨蒐集資料(改進新聞),N11-6-2,カイシンシンブン,1888-03-27,1513,1-4,,三益社,東京,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/39af58bc-3ee8-053b-75f8-2fdd9b4f60e5.json,39af58bc-3ee8-053b-75f8-2fdd9b4f60e5,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/39af58bc-3ee8-053b-75f8-2fdd9b4f60e5,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/309b3689ecebb2e8b35a37455a5a8a789d37a6c1.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/416885,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/39af58bc-3ee8-053b-75f8-2fdd9b4f60e5/manifest,,,,,4
改進新聞 明治20(1887)年10月16日,新聞,宮武外骨蒐集資料(改進新聞),N11-6-2,カイシンシンブン,1887-10-16,1384,1-4,,三益社,東京,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/22621933-3416-834d-8cfd-ef89e5c614c1.json,22621933-3416-834d-8cfd-ef89e5c614c1,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/22621933-3416-834d-8cfd-ef89e5c614c1,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/4127c8c9c6e9de3305d7f6c826ad5f5aff3f0ad1.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/416755,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/22621933-3416-834d-8cfd-ef89e5c614c1/manifest,,,,,4
改進新聞 明治19(1886)年3月27日,新聞,宮武外骨蒐集資料(改進新聞),N11-6-2,カイシンシンブン,1886-03-27,908,1-4,,三益社,東京,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/33c03b4c-a2a0-73ab-175e-b767bb51a69d.json,33c03b4c-a2a0-73ab-175e-b767bb51a69d,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/33c03b4c-a2a0-73ab-175e-b767bb51a69d,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/dc5f98335364bbeff034f709dde6a8570824afac.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/416305,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/33c03b4c-a2a0-73ab-175e-b767bb51a69d/manifest,,,,,4
改進新聞 明治22(1889)年11月26日,新聞,宮武外骨蒐集資料(改進新聞),N11-6-2,カイシンシンブン,1889-11-26,2018,1-4,附録2面あり,三益社,東京,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/fb1d0e40-76c1-4d2d-113c-1e8c83f377eb.json,fb1d0e40-76c1-4d2d-113c-1e8c83f377eb,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/fb1d0e40-76c1-4d2d-113c-1e8c83f377eb,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ea50c0f3c74310b3392afd986f0b98f66fc570e3.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/417144,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/fb1d0e40-76c1-4d2d-113c-1e8c83f377eb/manifest,,,,,6
改進新聞 明治21(1888)年8月11日,新聞,宮武外骨蒐集資料(改進新聞),N11-6-2,カイシンシンブン,1888-08-11,1630,1-4,,三益社,東京,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c6328bc3-a53d-0b87-84a0-c553a4f047d3.json,c6328bc3-a53d-0b87-84a0-c553a4f047d3,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/c6328bc3-a53d-0b87-84a0-c553a4f047d3,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/af2072393cd1ed78f8a3478ad60cc15b47ff3cc5.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/417001,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c6328bc3-a53d-0b87-84a0-c553a4f047d3/manifest,,,,,4
改進新聞 明治26(1893)年5月28日,新聞,宮武外骨蒐集資料(改進新聞),N11-6-2,カイシンシンブン,1893-05-28,3093,1-4,,三益社,東京,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/1dd9859a-9806-75b3-0f7e-f580e465818b.json,1dd9859a-9806-75b3-0f7e-f580e465818b,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/1dd9859a-9806-75b3-0f7e-f580e465818b,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ff8a31e01d53db9c6e032b5cb17e3b6d7d45baa3.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/417451,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/1dd9859a-9806-75b3-0f7e-f580e465818b/manifest,,,,,4
改進新聞 明治20(1887)年4月28日,新聞,宮武外骨蒐集資料(改進新聞),N11-6-2,カイシンシンブン,1887-04-28,1238,1-4,,三益社,東京,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a2db2edc-0713-21dc-0b44-f5de39548855.json,a2db2edc-0713-21dc-0b44-f5de39548855,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/a2db2edc-0713-21dc-0b44-f5de39548855,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/3a9a0217b42b14fc0ae8ce50218a9950b39fdacc.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/416610,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a2db2edc-0713-21dc-0b44-f5de39548855/manifest,,,,,4
改進新聞 明治17(1884)年10月29日,新聞,宮武外骨蒐集資料(改進新聞),N11-6-2,カイシンシンブン,1884-10-29,498,1-4,,三益社,東京,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/606a094a-81bb-64b1-051d-6123550f45ef.json,606a094a-81bb-64b1-051d-6123550f45ef,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/606a094a-81bb-64b1-051d-6123550f45ef,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f60f75d7a2fd0abe0ad38943be1496bd27a62216.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/415895,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/606a094a-81bb-64b1-051d-6123550f45ef/manifest,,,,,4
