タイトル/Title,ポスター番号/No. of Poster,タイトル（日本語訳）/TItle (Japanese),作成者/Creator,作成主体/Publisher,制作年/Date Issued,縦×横（mm）/Extent,主題/Subject,内容記述・解説/Description,備考（ポスターにある記号等）/Note,提供部局名/Holding Department,種別/Material Type,言語/Language,連番,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
"Take it from me, brother. We've still got a big job to do!",10,片足くらい持っていきな 我々にはまだ大仕事があるんでね!,"Scott, Howard",U.S. Navy (海軍),1943,1018×723,Navy,"Take it from me, brother—We’ve still got a big job to do!","G? Printing Office : 1943-o-564207, Official Navy Poster, Industrial Incentive ?? 絵にHoward Scott のサインあり。",アメリカ太平洋地域研究センター,静止画資料,英語,0010,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a3845b81-7b3a-5141-9f77-b122637c37c2.json,a3845b81-7b3a-5141-9f77-b122637c37c2,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/document/a3845b81-7b3a-5141-9f77-b122637c37c2,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo1.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/bbb38ac6ac9c1b63714332510effc79ea292eb7a.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/654515,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",,,CPAS第二次世界大戦期プロパガンダポスターコレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a3845b81-7b3a-5141-9f77-b122637c37c2/manifest,,,,,1
Enlist your skill for victory. Keep the fleet in fighting trim with the Navy's Ship Repair Units,11,勝利のためにあなたの技能で軍に協力を。海軍船舶修理部隊で軍艦を戦闘態勢に,,"Navy Recruiting Bureau (NRB, 海軍徴兵局)",1943,1031×712,Navy,Enlist your skill for victory / Keep the fleet in fighting trim with the Navy’s Ship Repair Units / Workers 18 to 38! Ask about new plan of Voluntary Induction / See your nearest Navy Recruiting Station|写真の兵士は戦艦の修復作業を行っている。,Navpers-NRB-39041-23 Oct 43-20M,アメリカ太平洋地域研究センター,静止画資料,英語,0011,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/aeabb8f1-824c-48dd-7eaa-7cfa133f00b3.json,aeabb8f1-824c-48dd-7eaa-7cfa133f00b3,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/document/aeabb8f1-824c-48dd-7eaa-7cfa133f00b3,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo1.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/49a64c58396908a41f296c058c31291f52bd7781.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/654514,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",,,CPAS第二次世界大戦期プロパガンダポスターコレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/aeabb8f1-824c-48dd-7eaa-7cfa133f00b3/manifest,,,,,1
Know your Navy,12,海軍について知ろう,,,,1029×712,Navy,"Know your Navy / These two booklets tell you all the facts. Ask for your copies today at the nearest U.S. Navy Recruiting Station / 1. “What Kind of Job Can I Get in the Navy?” This booklet is a guide to the vocational opportunities of the Navy. It describes the Navy’s 50 ratings, giving pay, duties and insignia of each. It tells about the Navy trade schools and how your civilian occupation may qualify you at once for a petty officer rating. / 2. “Men Make the Navy . . . The Navy Makes Men” This booklet tells you all the things you want to know about life in the Navy—requirements for enlistment, pay rates, allowances for dependents, opportunities for promotion, food, medical and dental care, clothing allotment, training routine, recreation, ratings, etc. / Don’t wait—Choose the Navy","Order No. 7  NRB-34062-10-31-42-10,500.",アメリカ太平洋地域研究センター,静止画資料,英語,0012,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/95f97c6c-6770-787a-37e7-8292e75802b1.json,95f97c6c-6770-787a-37e7-8292e75802b1,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/document/95f97c6c-6770-787a-37e7-8292e75802b1,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo1.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/cdcfbef0ee3234ea9784ef1971224efee312fe30.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/654513,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",,,CPAS第二次世界大戦期プロパガンダポスターコレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/95f97c6c-6770-787a-37e7-8292e75802b1/manifest,,,,,1
Young Americans of sound physique and good character are needed to fill stations created by the expansion of our first line of defense,14,祖国防衛の前線拡張で、基地の人員を満たすために優れた体格及び人格を持つ若いアメリカ人が必要です,,U.S. Navy (海軍),1940,1029×710,Navy,Young Americans of sound physique and good character are needed to fill stations created by the expansion of our first line of defense / The United States Navy|戦時ポスターに非常に多く登場する星条旗をデザインしたもの。星の数は、第二次大戦当時まだ48個しかなかった。,,アメリカ太平洋地域研究センター,静止画資料,英語,0013,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/3c6219d7-30a6-98cf-926a-7c0bd6682b47.json,3c6219d7-30a6-98cf-926a-7c0bd6682b47,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/document/3c6219d7-30a6-98cf-926a-7c0bd6682b47,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo1.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/24d9f581f6704afeae9670ddfcacf3654bc4ddf5.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/654512,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",,,CPAS第二次世界大戦期プロパガンダポスターコレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/3c6219d7-30a6-98cf-926a-7c0bd6682b47/manifest,,,,,1
Women 20 to 36. Earn a Navy rating. Join the WAVES,15,20歳から36歳の女性の皆さん、海軍で働きませんか。WAVESに参加しましょう,,"Navy Recruiting Bureau (NRB, 海軍徴兵局)",1943,1031×712,"Navy, WAVES","Women 20 to 36 / Earn a Navy rating based on Navy Training and your own ability and experience. Same grades—same pay—as for men / Steps in advancement (For radioman, illustrated, or other specialties) / Pay-$50 to $126 a month clear—free uniforms. Allowances for food and living quarters—a wonderful opportunity to serve your country / Specialty marks—Worn by the WAVES|女性兵募集。階級と職能別のバッジの模様などが描かれている。WAVE(海軍女性予備部隊)は1942年に創設されたが、1970年代に至るまで、海外勤務は実施されなかったという。",NAVPERS- NRB-38497-13 Sep 43-40M,アメリカ太平洋地域研究センター,静止画資料,英語,0014,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/533d5f27-6335-3dac-4e06-85da5e1305c7.json,533d5f27-6335-3dac-4e06-85da5e1305c7,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/document/533d5f27-6335-3dac-4e06-85da5e1305c7,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo1.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/edd922562b77c0ef483453cd18fbc3d933c00df6.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/654511,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",,,CPAS第二次世界大戦期プロパガンダポスターコレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/533d5f27-6335-3dac-4e06-85da5e1305c7/manifest,,,,,1
Become a nurse—Your country needs you,16,看護婦になろう。祖国にはあなたが必要だ,,"Public Health Service (PHS, 公衆衛生総局)",1942,710×560,Cadet Nurse Corps,"Become a nurse / Your country needs you / Write Nursing Information Bureau, 1790 Broadway, New York City",U.S. Government Printing Office: 1942-o-498483,アメリカ太平洋地域研究センター,静止画資料,英語,0015,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/330322fd-475e-5c5b-2f90-e62a7fff3d33.json,330322fd-475e-5c5b-2f90-e62a7fff3d33,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/document/330322fd-475e-5c5b-2f90-e62a7fff3d33,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo1.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/036d655f01f0eba18fa3479cda8a39f3397c821a.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/654510,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",,,CPAS第二次世界大戦期プロパガンダポスターコレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/330322fd-475e-5c5b-2f90-e62a7fff3d33/manifest,,,,,1
Enlist in a proud profession! Join the U.S. Cadet Nurse Corps,17,誇りある職業に就こう。CNCに加わろう,,"Public Health Service (PHS, 公衆衛生総局)",1942,710×508,Cadet Nurse Corps,"Enlist in a proud profession! / Join the U.S. Cadet Nurse Corps / A lifetime education—free! If you can qualify / For information go to your local hospital or write U.S. Cadet Nurse Corps, Box 88, New York, N.Y.|看護婦募集。軍事病院で働く幹部看護婦、あるいは公共病院で働く一般的な看護婦を募集している。Edmundsonのサインあり。",,アメリカ太平洋地域研究センター,静止画資料,英語,0016,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c3612580-53eb-400f-3765-3210f56d6568.json,c3612580-53eb-400f-3765-3210f56d6568,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/document/c3612580-53eb-400f-3765-3210f56d6568,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo1.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ab8cb8cf18c45c0bea5f5051bb60107d342a3348.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/654509,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",,,CPAS第二次世界大戦期プロパガンダポスターコレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c3612580-53eb-400f-3765-3210f56d6568/manifest,,,,,1
"Attention, women! Join the WAAC",18,女性たちよ! WAACに加わろう,,"Recruiting Publicity Bureau (RPB, 陸軍徴兵広報局)",1943,965×637,"Army, WAAC","Attention, women! / Join the WAAC / Women's Army Auxiliary Corps, U.S. Army / Apply at any U. S. Army Recruiting and Induction Station|制服を着た女性。左すみにあるギリシャ風女性戦士?のような模様のコインが象徴するものは?。",P-57-RPB-3.5.43-25M,アメリカ太平洋地域研究センター,静止画資料,英語,0017,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/cb149a3f-6cfb-13dc-4caf-1d779ea70ef6.json,cb149a3f-6cfb-13dc-4caf-1d779ea70ef6,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/document/cb149a3f-6cfb-13dc-4caf-1d779ea70ef6,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo1.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/7d67bd0df0f401624642eb8a7c7c6ce9261afcda.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/654508,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",,,CPAS第二次世界大戦期プロパガンダポスターコレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/cb149a3f-6cfb-13dc-4caf-1d779ea70ef6/manifest,,,,,1
WAAC. This is my war too!,19,WAAC、これはわたしの戦いでもある,"Smith, Dan V.","Recruiting Publicity Bureau (RPB, 陸軍徴兵広報局)",1943,924×636,"Army, WAAC",WAAC / This is my war too! / Women's Army Auxiliary Corps / United States Army|女性兵募集広告。WAAC(陸軍女性補助部隊)は1942年5月から1943年6月まで存続した。その後7月の法改訂により「補助」の語が削除されWAC(陸軍女性部隊)となった。背後に星条旗が翻る女性兵の絵にはDan V. Smithのサインがみられる。,P-53-RPB-1.9.43-50M,アメリカ太平洋地域研究センター,静止画資料,英語,0018,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4f35667e-a500-23fd-3a72-4aeb2c8e7645.json,4f35667e-a500-23fd-3a72-4aeb2c8e7645,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/document/4f35667e-a500-23fd-3a72-4aeb2c8e7645,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo1.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/3cbe1011be7cd50a76bcccdb5ac8bd35cff3d173.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/654507,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",,,CPAS第二次世界大戦期プロパガンダポスターコレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4f35667e-a500-23fd-3a72-4aeb2c8e7645/manifest,,,,,1
Do your part. Join the WAAC,20,あなたの務めを果たしましょう、さあWAACへ,,"Recruiting Publicity Bureau (RPB, 陸軍徴兵広報局)",1942,967×638,"Army, WAAC",Do your part. Join the WAAC / Women's Army Auxiliary Corps / United States Army / Apply at any U. S. Army Recruiting and Induction Station|WAAC(陸軍女性補助部隊)は1942年5月から1943年6月まで存在した。7月1日成立の立法により「補助」の語が削除されWAC(陸軍女性部隊)となっている。,P.48-RPB-11.6.42-50M,アメリカ太平洋地域研究センター,静止画資料,英語,0019,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/7308128d-7937-151e-8197-c97b70510713.json,7308128d-7937-151e-8197-c97b70510713,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/document/7308128d-7937-151e-8197-c97b70510713,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo1.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c282a16b03b583f6dc0b3185dfb953e8fd4a1baf.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/654506,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",,,CPAS第二次世界大戦期プロパガンダポスターコレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/7308128d-7937-151e-8197-c97b70510713/manifest,,,,,1
Serve with Women's Reserve—U.S. Coast Guard. SPARs,21,SPARSに入りましょう 合衆国婦人海岸防衛予備軍,"Bentley, Lester W.",U.S. Coast Guard (沿岸警備隊),,1030×710,Coast Guard,Serve with Women's Reserve—U.S. Coast Guard / SPARs / Apply nearest office of Naval Officer Procurement|SPARSによる女性兵募集。沿岸警備隊は Semper Paratus(ラテン語で「常に準備は出来ている」の意、always prepared)をモットーとしたところから、こう呼ばれた。米国沿岸警備予備隊女性部隊は1942年11月に創設された。,,アメリカ太平洋地域研究センター,静止画資料,英語,0020,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/488411c1-969f-2e79-0f4c-9c0f67183cdd.json,488411c1-969f-2e79-0f4c-9c0f67183cdd,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/document/488411c1-969f-2e79-0f4c-9c0f67183cdd,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo1.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b130b09df10a39b92bb00418c350caec12b11852.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/654505,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",,,CPAS第二次世界大戦期プロパガンダポスターコレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/488411c1-969f-2e79-0f4c-9c0f67183cdd/manifest,,,,,1
Christmas mailing time,22,クリスマス郵便の時期がやってきました!,,"Recruiting Publicity Bureau (RPB, 陸軍徴兵広報局)",,710×515,"Army, Navy, Postal Services",Christmas mailing time / Packages for our armed forces overseas must be mailed between Sept. 15–Oct. 15 / Address correctly / Wrap them securely / Weight limit--5 lbs. / Size limit--15 in. long--36 in. length and girth combined / Prepay full postage / Christmas cards must be in sealed envelopes but can be mailed any time / U.S. Army and Navy Postal Services|海外で戦っている兵士にとって、クリスマス・プレゼントが期日に届くということは士気高揚の上で非常に大切であった。軍は市民に対し、10月15日までにクリスマス・プレゼントを発送するように要請した。Bogoradのサインあり。,P-111-RPB-7.29.44-221M,アメリカ太平洋地域研究センター,静止画資料,英語,0021,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f9806b74-159e-45f7-921b-eace815a871b.json,f9806b74-159e-45f7-921b-eace815a871b,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/document/f9806b74-159e-45f7-921b-eace815a871b,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo1.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/06e811e71820049fe7b0c2e270ab4b6611c21fed.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/654504,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",,,CPAS第二次世界大戦期プロパガンダポスターコレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f9806b74-159e-45f7-921b-eace815a871b/manifest,,,,,1
Next! 6th war loan.,23,次なる標的へ! 第6次戦時国債,"Bingham, James",,1944,337×237,"War bonds, Japan",Next! / 6th war loan.|第6次戦時ローン広告。アメリカ兵が日本をにらんでいる。,,アメリカ太平洋地域研究センター,静止画資料,英語,0022,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f4720425-51fc-53ee-14b5-3fadd6e1a405.json,f4720425-51fc-53ee-14b5-3fadd6e1a405,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/document/f4720425-51fc-53ee-14b5-3fadd6e1a405,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo1.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f0bd730bd971976cc870a077a7c4ea828c98811a.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/654503,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",,,CPAS第二次世界大戦期プロパガンダポスターコレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f4720425-51fc-53ee-14b5-3fadd6e1a405/manifest,,,,,1
Time for action!,24,今こそ行動せよ!,"Bauer, Robert",,,557×430,War bonds,Time for action! / Invest 10% of your weekly earnings in United States war bonds,,アメリカ太平洋地域研究センター,静止画資料,英語,0023,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/bbdf7ab8-a0bc-1dcd-06db-153df9e450aa.json,bbdf7ab8-a0bc-1dcd-06db-153df9e450aa,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/document/bbdf7ab8-a0bc-1dcd-06db-153df9e450aa,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo1.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/55e4e7092b5b5c5029f1bfb28532aa0f77b4fa3c.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/654502,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",,,CPAS第二次世界大戦期プロパガンダポスターコレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/bbdf7ab8-a0bc-1dcd-06db-153df9e450aa/manifest,,,,,1
For victory at least 10 percent of your pay every pay day,25,勝利のため、給料日ごとに1割は,,,,561×425,War bonds,Help him / Every $3.00 you put into war bonds buys 144 rifle bullets / Help yourself / Every $3.00 you put into war bonds brings you back $4.00 / For victory at least 10% of your pay every payday,,アメリカ太平洋地域研究センター,静止画資料,英語,0024,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a2392feb-227f-5a1d-9f72-f5b68bf75007.json,a2392feb-227f-5a1d-9f72-f5b68bf75007,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/document/a2392feb-227f-5a1d-9f72-f5b68bf75007,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo1.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ac849d37fda3202da3d3e4de788df79add1826dc.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/654501,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",,,CPAS第二次世界大戦期プロパガンダポスターコレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a2392feb-227f-5a1d-9f72-f5b68bf75007/manifest,,,,,1
Attack Attack Attack. Buy war bonds,27,攻めろ!攻めろ!攻めろ! 戦時国債を買おう,"Warren, Ferdinand",,1942,555×605,War bonds,Attack Attack Attack / Buy war bonds,,アメリカ太平洋地域研究センター,静止画資料,英語,0025,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/7514c987-4f3c-8be2-2858-da8faca67b84.json,7514c987-4f3c-8be2-2858-da8faca67b84,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/document/7514c987-4f3c-8be2-2858-da8faca67b84,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo1.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/91f20eb4814fc63ba25ef5cf3765d0e1f333c4fd.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/654500,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",,,CPAS第二次世界大戦期プロパガンダポスターコレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/7514c987-4f3c-8be2-2858-da8faca67b84/manifest,,,,,1
A bond grows with baby,28,赤ん坊のようにすくすくと、債券価格が上がります,,,1942,685×495,War bonds,A bond grows with baby . .,,アメリカ太平洋地域研究センター,静止画資料,英語,0026,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/05d2c8cb-8069-0790-1ec4-dfe767a179e8.json,05d2c8cb-8069-0790-1ec4-dfe767a179e8,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/document/05d2c8cb-8069-0790-1ec4-dfe767a179e8,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo1.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f857438d4dea890e46871947a7bbea10744822da.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/654499,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",,,CPAS第二次世界大戦期プロパガンダポスターコレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/05d2c8cb-8069-0790-1ec4-dfe767a179e8/manifest,,,,,1
United States saving bonds,29,合衆国貯蓄債券,,,1941,690×492,War bonds,United States saving bonds / Direct obligations of the United States government / Add one-third to your investment in ten years / On sale at your post office|貯蓄債権の広告。自由の女神風?の女性が左手に貯金箱(金庫)と右手に債券を持っている図。背景には星条旗とワシントンのキャピトルも見える。,,アメリカ太平洋地域研究センター,静止画資料,英語,0027,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/60b6c5b3-3cac-a07e-90a5-dc03f96f10fb.json,60b6c5b3-3cac-a07e-90a5-dc03f96f10fb,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/cpas-poster/document/60b6c5b3-3cac-a07e-90a5-dc03f96f10fb,http://www.cpas.c.u-tokyo.ac.jp/lib/archive_riyo1.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/7740c202d30995080b8f82da480f681178dcf659.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/654498,"東京大学大学院総合文化研究科グローバル地域研究機構アメリカ太平洋地域研究センター Center for Pacific and American Studies, The University of Tokyo, JAPAN",,,CPAS第二次世界大戦期プロパガンダポスターコレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/60b6c5b3-3cac-a07e-90a5-dc03f96f10fb/manifest,,,,,1
