タイトル,書名よみ,書誌情報,請求記号,画像,内容記述,区分,Digitized Publisher,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
樂小記(ガク ショウキ) . [写本],ガク ショウキ,"([製作地不明] : [森鴎外], [1---]) 3冊 ; 24cm -- 上;中;下 注記: 書名は巻頭による ; 写本 ; 和装. 袋綴じ",鴎F20:64,全頁,鴎外の音楽に関するノート。中巻の末尾二葉が「奈良近東印行」の原稿用紙であることから、帝室博物館館長として奈良と東京を往復しつつ書かれた晩年のメモの一つと考えられる。注目すべきは、上巻における琴や尺八に対する平均律の計算や各楽器固有の調性関係を検討するという、ドイツ音楽の素養を活かした試みである。同巻では他に日本音楽の起源を印度音楽に求める意見が『仏教全書』などを基に述べられており、これはチェンバレン『日本事物誌』などにも通底する考察である。随所に挿入された音階図や朱筆書き入れから窺われる鴎外の正確な音楽理解は、大正期知識人の音楽観を詳細に伝える貴重な資料となっている。中巻・下巻では『資治通鑑』、『康煕字典』、『文机談』、『拾芥抄』、『仙隠伝』などを基に、楽器名、調名が細かく考証されている。(多),和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/35613d89-75f4-4acb-a8f5-65c5a1c40162.json,35613d89-75f4-4acb-a8f5-65c5a1c40162,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/35613d89-75f4-4acb-a8f5-65c5a1c40162,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c84f936beea20a0e286ffc8074d0d7691e763a74.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/376,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/35613d89-75f4-4acb-a8f5-65c5a1c40162/manifest,,,,,62
Geschichte des neueren Dramas / von Robert Prölß.,Geschichte des neueren Dramas / von Robert Prölß.,"Leipzig : Bernhard Schlicke, 1881-. 2 v. ; 23 cm. 内容: 1. Bd.,[1. Hälfte] Rückblick auf die Entwickelung des mittelalterlichen Dramas ; Das neuere Drama der Spanier ; 2. Bd., 2. Hälfte. Das neuere Drama der Engländer",鴎E100:58,書入頁,"カール・ロベルト・プレルス『近世演劇史』。 筆者は19世紀から20世紀初頭の著述家、劇作家で、本書では、ヨーロッパ中世の演劇から語り起こし、スペイン、イタリア、フランス、イギリス、ドイツ等の近代演劇史を解説する。『思軒居士が耳の芝居目の芝居』の依拠文献の一つであり、ギリシャ悲劇のヨーロッパにおける消長の記述のところに引用されている。 同著者の本は、西洋演劇史の知識の基礎となった『ドイツの劇文学及び劇芸術の歴史』(Geschichte der dramatischen Literatur und Kunst in Deutschland、鴎400:409)、『ハインリヒ・ハイネ』(Heinrich Heine、鴎400:470)の二冊が鴎外文庫中にあるが、どちらもよく読まれた形跡がある。また、鴎外文庫中の『近世演劇史』は一部落丁しており、該当箇所に鴎外の筆で「以下落丁」「以上落丁」などと記されている。(河・山)|関連作品: 『思軒居士が耳の芝居目の芝居』(全集23巻)|参考文献: 島田謹二「若き鴎外と西洋演劇」(『比較文学研究』4巻1・2号,1957年6月)",洋書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/3569618b-b580-4da3-bac1-117e91af2a94.json,3569618b-b580-4da3-bac1-117e91af2a94,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/3569618b-b580-4da3-bac1-117e91af2a94,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c9b280f651ee2ce289c957bcd31f3f6c313c2fea.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/377,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/3569618b-b580-4da3-bac1-117e91af2a94/manifest,,,,,24
芳野新詠(ヨシノ シンエイ) / 荒井公廉著.,ヨシノ シンエイ,"浪蕐 : 河内屋八兵衛 京師 : 堺屋嘉七, 文政4[1821][刊] 2, 32丁 ; 19cm 注記: 叙の書名: 吉野新詠 ; 芳野山櫻本坊藏梓 ; 左右双辺有界 ; 虫損あり ; 書き入れあり ; 印記: 「嵒印政宜」,「吉」,「ヨシコ」,「越書」",鴎E45:800,全頁(ほぼ全頁に書入有),近世後期の儒者荒井鳴門の漢詩集。吉野の旧跡についての詩を収録する。留学前に使用された「医学士森林太郎図書之記」の印が押されていることから、若年期の書入れと考えられる。そのほとんどが詠史対象となった人物に関する注記であり、漢詩を通して歴史に対する興味を満たしていった様がうかがえる。 詠史詩などに対して、題材となった人物の名などを記入することは他の数多くの漢詩集において行われており、鴎外文庫蔵書における書入れの一つの特徴となっている。(合),和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/36198121-18ce-48db-a6b6-4086111a0024.json,36198121-18ce-48db-a6b6-4086111a0024,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/36198121-18ce-48db-a6b6-4086111a0024,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/4c0923a50daac01f6ca0e3baa10fc70ed6ef431a.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/378,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/36198121-18ce-48db-a6b6-4086111a0024/manifest,,,,,38
名家手簡人名(メイカ シュカン ジンメイ) . [写本],メイカ シュカン ジンメイ,"([製作地不明] : [森鴎外], [1---]) 1冊 ; 24cm 注記: 書名は巻頭による ; 写本 ; 和装. 袋綴じ",鴎H20:526,全頁,山内香雪『名家手簡』に收録されている近世期の儒学者や漢詩人ら約220名について、名字、通称、号、官職、没年、享年などを抜書きしたもの。他の人名録と同じように、大正期の制作と推測される。(合),和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/383681ee-64cd-4fff-8c24-142c1f7f2409.json,383681ee-64cd-4fff-8c24-142c1f7f2409,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/383681ee-64cd-4fff-8c24-142c1f7f2409,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d00c5a381660cb2dfecf52ad39aecbd548321271.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/379,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/383681ee-64cd-4fff-8c24-142c1f7f2409/manifest,,,,,24
夢亭詩抄人名(ムテイ シショウ ジンメイ) . [写本],ムテイ シショウ ジンメイ,"([製作地不明] : [森鴎外], [1---]) 13丁 ; 24cm 注記: 書名は題簽による ; 写本 ; 『夢亭詩抄』(萬延元年刊寄春草堂藏板)より抄出 ; 和装. 袋綴じ",鴎E45:771,全頁,幕末の漢詩人、東夢亭《ひがしむてい》の歿後に刊行された『夢亭詩鈔』(1860年)のノート。鴎外は序・跋、人名を含む詩題等を抄出し、夢亭の妻小林珮芳《はいほう》についての情報を書き加えている。『北条霞亭』の資料となった。(多)|関連作品: 『北条霞亭』(全集18巻),和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/394d0b83-f98f-4ead-b548-e459d3b08a38.json,394d0b83-f98f-4ead-b548-e459d3b08a38,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/394d0b83-f98f-4ead-b548-e459d3b08a38,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c13adf6a3e1ff452a26cbbf7fcf5c9c96b7df432.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/380,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/394d0b83-f98f-4ead-b548-e459d3b08a38/manifest,,,,,16
下澤陳平書柬(シモサワ チンペイ ショカン) . [写本],シモサワ チンペイ ショカン,"([製作地不明] : 下澤陳平, 1916.5) 1冊 ; 24cm 注記: 書名は題簽による ; 写本 ; 和装. 袋綴じ",鴎G25:86,全頁,下沢陳平より森鴎外に宛てられた書簡を鴎外が綴じた本。『渋江抽斎』の関係資料である。内容は、大正5年(1916)4月7日付下沢陳平書柬本文、和刻本『官版説文解字真本』(文政9年(1826)刊)解題、『致身温故録』所載の文献表(主として武鑑)、比良野助太郎貞彦についての事蹟、「旧藩日記抄録」、森鴎外『渋江抽斎』の記述の誤りについての指摘の6項目にわたっている。(神)|関連作品: 『渋江抽斎』(全集16巻) http://www.aozora.gr.jp/cards/000129/card2058.html,和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/3a10a5e2-c19f-414b-8d2a-b5df8a2badc3.json,3a10a5e2-c19f-414b-8d2a-b5df8a2badc3,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/3a10a5e2-c19f-414b-8d2a-b5df8a2badc3,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/935065802dcde29c191c8c94ce818bc8d5963d92.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/381,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/3a10a5e2-c19f-414b-8d2a-b5df8a2badc3/manifest,,,,,16
藤陰舍遺稿抄(トウインシャ イコウショウ) / [關藤成章著]. [写本],トウインシャ イコウショウ,"([製作地不明] : [森鴎外], [1---]) 24丁 ; 24cm 注記: 書名は巻頭による ; 写本 ; 和装. 袋綴じ",鴎H20:465,全頁,頼山陽の門人、関藤藤陰《せきとうとういん》の遺文集『藤陰舎遺稿』(1911年刊)を抄写したもの。『伊沢蘭軒』には藤陰と山陽伝中の登場人物、関五郎を同定するやや長い考証があり、他の部分でも本書を頻繁に参照している。鴎外のノートは人名部分が多く、欄外に「阿部正弘為老中」、「山陽歿」などの周辺情報、さらに朱筆で年齢などの訂正が書き加えられている。(多)|関連作品: 『伊沢蘭軒』(全集17巻) http://www.aozora.gr.jp/cards/000129/card2084.html,和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/3ada8c2f-f51f-4cc8-84f5-6af807ebe2a2.json,3ada8c2f-f51f-4cc8-84f5-6af807ebe2a2,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/3ada8c2f-f51f-4cc8-84f5-6af807ebe2a2,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/8d6a26727dc99e8c2a9c1f71420b447c94a325df.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/382,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/3ada8c2f-f51f-4cc8-84f5-6af807ebe2a2/manifest,,,,,27
隆熙改元祕事(リョウキ カイゲン ヒジ) / [内田良平著].,リョウキ カイゲン ヒジ,"[出版地不明] : [出版者不明], 1907.9序 1冊 ; 26cm 注記: 謄写版 ; 柱に「越後中頸城郡高士村 岩の原葡萄園」とあり ; 和装. 袋綴じ",鴎G35:83,全頁,"本書は国家主義団体、黒龍会の幹部であった内田良平が、大韓帝国(李氏朝鮮)の高宗皇帝を廃位させるため、明治38年(1905)から40年(1907)にかけて武田範之・李容九らとともに暗躍した活動の経緯を記したものである。「隆熙」とは、高宗廃位後に改元された大韓帝国の元号である。のちに葛生能久編『日韓合邦秘史』(黒龍会出版部,1930年)の資料としても用いられた。手書きのカーボン複写である鴎外文庫蔵本は、柱に「越後中頸城郡高士村 岩の原葡萄園」とあることから、この葡萄園の創立者であった川上善兵衛の手になると考えられる。川上は、武田範之に親炙し、パトロンとして彼の活動を支えていた人物である。鴎外とも交流があり、鴎外の日記大正6年(1917)4月7日の条には、川上が武田の事跡に関する資料『洪疇遺跡』(鴎A30:197)を持参したことが記されている。これは、川上が武田範之伝の執筆を鴎外に依頼するための資料であったと伝えられる。本書も、こうした経緯から鴎外に贈られた資料の一つであろう。鴎外文庫にはほかにも、祥雲晩成『洪疇武田範之師小伝』(鴎H20:416)や『李容九上書』(鴎M90:88)など、関係資料数点が現存している。結局鴎外は、武田範之伝の執筆を断念したが、のちに川上自身がこれを完成させて、現在『武田範之伝—興亜前提史—』として刊行されている。 本書が持つ武田範之の序と内田良平の緒言には、ともに明治40年9月と記されているが、実際に版行されたのは『日韓併合始末』に収録された時(大正10年9月序)であり、本文も若干異なっている。また、本書には朱筆により誤字訂正や推敲が多数施されているが、その内容が報告書の誤写や財政記録の金額の訂正など、関係者しか知りえない情報にもとづいていることなどから、校正刷りのような役割で制作されたものと考えられる。(小・出)|参考文献: 川上善兵衛『武田範之伝−興亜前提史−』日本経済評論社,1987年|参考文献: 出口智之「《資料紹介》鴎外文庫蔵武田範之関係資料−鴎外と韓国と川上善兵衛と−」(『文学』8巻2号,2007年3・4月)|参考文献: 柳生四郎「武田範之の「洪疇遺蹟」」(『図書館の窓 東京大学附属図書館月報』Vol.8, no.5,1969年5月)|翻刻: 金正柱編『朝鮮統治資料』第4巻,韓国史料研究所,1970年",和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/3ae78489-c415-42d9-bf87-f1541a254306.json,3ae78489-c415-42d9-bf87-f1541a254306,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/3ae78489-c415-42d9-bf87-f1541a254306,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2c3258b3e54e7aff88b7d06964766eabfb923c02.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/383,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/3ae78489-c415-42d9-bf87-f1541a254306/manifest,,,,,219
Für die Feuerbestattung / von Gottfried Kinkel.,Für die Feuerbestattung / von Gottfried Kinkel.,"Berlin : Staude, 1877. 20 p. ; 18 cm.",鴎V330:161,書入頁,ゴットフリート・キンケル『火葬について』。 副題によると、キンケルがドレスデンで1876年6月7日にヨーロッパ会議開会に際して行った火葬についての講演録。標題紙には「作者千八百四十八年Baden叛党ノ魁首ナリ 死罪ノ宣告ヲ受ケ逃レテ英国ニ至ル 今瑞西ノ大家ナリ(一等軍医Weber之話) 10 Mai 1886」との鴎外の識字があり、鴎外がミュンヘン留学中に軍医ヴェーバーの薦めにより購入したとみられる。本文は20ページほどの講演記録だが、鉛筆の下線が多く、鴎外が熟読したものと推測される。(河),洋書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/3b4b1947-479e-42b5-87b4-57d1a6432e38.json,3b4b1947-479e-42b5-87b4-57d1a6432e38,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/3b4b1947-479e-42b5-87b4-57d1a6432e38,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0ffc04581c7ff7cd45579b3d212d7bb7867b0e6b.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/384,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/3b4b1947-479e-42b5-87b4-57d1a6432e38/manifest,,,,,10
曲直瀬事蹟(マナセ ジセキ) . [写本],マナセ ジセキ,"([製作地不明] : [澁江保], [1---]) 1冊 ; 23cm 注記: 書名は題簽による ; 写本 ; 和装. 袋綴じ ; 附: 贈正五位曲直瀬道策",鴎H20:485,全頁,"「「日本人名辞彙」より抄出す」(1オ)とある「曲直瀬正慶」の記事、曲直瀬《まなせ》家の家譜である「今大路年譜」、『勤王烈士伝』(勤王烈士頌功建碑事務所,明治39年(1906)4月)から抄写した「贈正五位曲直瀬道策」の項目の3部より成る。ただし、第1部の「日本人名辞彙」は誤りで、用いられた書名は『大日本人名辞典』(東京実益社,大正5年(1916)12月)が正しい。また、「今大路年譜」のみ渋江保の筆跡であるが、それ以外の筆写者は不明である。のちに今大路の姓を賜った曲直瀬家は、一渓道三《いっけいどうさん》(正慶は諱)にはじまる著名な医家であった。「伊沢蘭軒」のその百四で、曲直瀬養安院の七十の賀を寿いだ詩について言及されているほか、その三百二十四にも今大路一渓(曲直瀬道三)の名が見えている。また本書の第10丁ウには、抽斎に関する言及もあることから、『渋江抽斎』および『伊沢蘭軒』の執筆に用いられた資料と考えられる。(出)|関連作品: 『渋江抽斎』(全集16巻) http://www.aozora.gr.jp/cards/000129/card2058.html|関連作品: 『伊沢蘭軒』(全集17巻) http://www.aozora.gr.jp/cards/000129/card2084.html",和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/3e676af7-bd31-4d7c-a32a-5813a7d4d840.json,3e676af7-bd31-4d7c-a32a-5813a7d4d840,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/3e676af7-bd31-4d7c-a32a-5813a7d4d840,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/540d3a9e068b344be100028fe9d8dbb9d8c93c34.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/385,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/3e676af7-bd31-4d7c-a32a-5813a7d4d840/manifest,,,,,19
古學徒名録(コガクト メイロク) . [写本],コガクト メイロク,"([製作地不明] : [森鴎外], [1---]) 1冊(66丁) ; 24cm 注記: 書名は題簽による ; 写本 ; 和装. 袋綴じ",鴎H20:492,全頁,近世期の儒学者伊藤仁斎とその息子東涯、また、彼らの門人や関係者などを五十音順に抄録したもの。古学徒とは、ここでは、古義学を唱えた仁斎一派に対する呼称である。五十音ごとに頁が替えられていることから、元々、罫紙ごとに人名を抄出した後に、冊子体に綴じたのであろう。制作にあたっては、多くの詩文集や人名録、詩話などが参照されたと考えられる。(合),和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/3ec5453d-40b0-4e37-8ee6-11163b3c67ee.json,3ec5453d-40b0-4e37-8ee6-11163b3c67ee,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/3ec5453d-40b0-4e37-8ee6-11163b3c67ee,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f6d4bdee5170ff4f43b327263d3a3ce7af37c71b.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/386,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/3ec5453d-40b0-4e37-8ee6-11163b3c67ee/manifest,,,,,71
抽齋歿後(チュウサイ ボツゴ) . [写本],チュウサイ ボツゴ,"([製作地不明] : [澁江保], [1---]) 1冊 ; 23cm 注記: 書名は題簽による ; 写本 ; 和装. 袋綴じ",鴎H20:514,全頁,"渋江保筆の原稿を鴎外が1冊に綴じた本。題名は鴎外自筆の題簽により、内題として渋江保自筆で「抽斎歿後の渋江家と保 附五百」とある。数章に段別されており、逐次的に鴎外のもとに送られたと考えられる。 鴎外が史伝『渋江抽斎』を書くため、抽斎の息子保に、父についての回想録を依頼し(大正5年(1916)3月6日付渋江保宛書簡)、それに応じて保が書いた原稿である。内容は抽斎没後の渋江家の人々に関する回想が中心で、生前の抽斎、その妻五百らについての挿話も含まれている。『渋江抽斎』中の多くの記述に、本書に拠った箇所がある。(出)|関連作品: 『渋江抽斎』(全集16巻) http://www.aozora.gr.jp/cards/000129/card2058.html|参考文献: 一戸務「鴎外作「渋江抽斎」の資料」(『文学』1巻5号,1933年8月)|参考文献: 小泉浩一郎「『渋江抽斎』論−出典と作品−」(『言語と文芸』47号,1966年7月)|参考文献: 山崎一頴『森鴎外・史伝小説研究』桜楓社,1982年|翻刻: 松本明知『森鴎外「渋江抽斎」基礎資料』日本医史学会,1988年|翻刻: 板垣公一「翻刻資料『抽斎歿後』−『抽斎歿後 単』渋江保(抽斎歿後の渋江家と保 附五百)−」(『名城商学』47巻別冊,1998年2月)",和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/3edefe88-6c17-4712-99b8-bd01c4c9d523.json,3edefe88-6c17-4712-99b8-bd01c4c9d523,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/3edefe88-6c17-4712-99b8-bd01c4c9d523,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/41da9e7984fd47273b57e37b5f8e5a7c3ae2f2ce.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/387,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/3edefe88-6c17-4712-99b8-bd01c4c9d523/manifest,,,,,161
家庭指南(カテイ シナン) / 有終綾部先生著.,カテイ シナン,"浪華 : 敦賀屋六兵衛, 天明6[1786][刊] 1冊 ; 27cm 注記: 綾部妥胤, 綾部妥彰, 綾部佐, 興津彜孝校 ; 三浦晉批 ; 杵築花王園藏版 ; 左右双辺有界 ; 虫損あり ; 巻首に「綾部絅斎、通稱進平、豊後國杵築郡人、家庭指南者、其所以授徒也、本有三浦槑園之序、蠧蝕不可讀、今僅収綴殘紙、以藏乎笥中云、明治三十二年十月上澣」と森鴎外識語あり",鴎B40:389,書入頁,"豊後の人、綾部綗斎≪アヤベケイサイ≫が門人に授けた教えを、子孫と門人が校合して出版した書。鴎外は、表紙裏に綗斎と本書について記し、また、この本にはもと三浦梅園の序があったこと、虫損が著しいため読めず、残紙を綴直したことを記している。梅園の序を含めた本書の全文は、『梅園全集』で読むことができる。(多)|参考文献: 三浦梅園著;梅園会編『梅園全集』弘道館,1912年",和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4034c824-a591-4a45-a8e0-100e8561f5c8.json,4034c824-a591-4a45-a8e0-100e8561f5c8,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/4034c824-a591-4a45-a8e0-100e8561f5c8,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/5a5027256829732519e48075c229214419a76720.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/388,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4034c824-a591-4a45-a8e0-100e8561f5c8/manifest,,,,,2
