タイトル,年月日,本文タイトル（原本）,巻頭目録タイトル（原本）,本文タイトル（標点本）,巻頭目録タイトル（標点本）,冊,巻,条,画像（開始コマ）,請求記号,類,目,影印本,標点本,Date Created,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
稽考分巡分守勤怠例,成化5.11.29,稽考分巡分守勤怠例,稽考分守官勤怠例,稽考分巡分守[官]勤怠例,稽考[分巡]分守官勤怠例,第2冊,卷9,第3條,0009-00013,A00:6290:2,吏部類,無故不朝參公座(無事不朝參),上-229下表,乙4-397(9-7),1469-110-29,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/7db8f539-d9df-4f40-80bd-ecab8cb2ab27.json,7db8f539-d9df-4f40-80bd-ecab8cb2ab27,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/7db8f539-d9df-4f40-80bd-ecab8cb2ab27,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b900ec46182c9de61c65d972e2744271afc0235b.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99532,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",,,皇明條法事類纂デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/7db8f539-d9df-4f40-80bd-ecab8cb2ab27/manifest,,,,,4
分巡分守官年終行過事跡奏繳仍行本處巡按巡撫官考覈例,成化9.3.23,分巡分守官年終行過事跡奏繳仍行本處巡按巡撫官考覈例,分巡分守官年終將行過事蹟奏繳仍行本處巡按巡撫官考覈例,分巡分守官年終將行過事蹟奏繳仍行本處巡按巡撫官考覈例,分巡分守官年終將行過事蹟奏繳仍行本處巡按巡撫官考覈例,第2冊,卷9,第4條,0009-00016,A00:6290:2,吏部類,無故不朝參公座(無事不朝參),上-231上表,乙4-400(9-8),1473-030-23,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c4050c98-2cb8-4dc1-b068-86db6b3e4a0a.json,c4050c98-2cb8-4dc1-b068-86db6b3e4a0a,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/c4050c98-2cb8-4dc1-b068-86db6b3e4a0a,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/5fba7310ea1cce3dc33f565880b528cba8f22cfa.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99533,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",,,皇明條法事類纂デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c4050c98-2cb8-4dc1-b068-86db6b3e4a0a/manifest,,,,,3
朝參官門籍有公差患病等項用印信手本開註例,成化9.5.27,朝參官門籍有公差患病等項用印信手本開註例,朝參官門籍有公差患病等項用印信手本開註例,朝參官門籍有公差患病等項用印信手本開註例,朝參官門籍有公差患病等項用印信手本開註例,第2冊,卷9,第5條,0009-00018,A00:6290:2,吏部類,無故不朝參公座(無事不朝參),上-232上表,乙4-401(9-9),1473-050-27,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d4690d58-6d17-4a3c-a75d-2dcf3bcedc81.json,d4690d58-6d17-4a3c-a75d-2dcf3bcedc81,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/d4690d58-6d17-4a3c-a75d-2dcf3bcedc81,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/158a8560eb17960959a2ad47dc8952568793703b.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99534,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",,,皇明條法事類纂デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d4690d58-6d17-4a3c-a75d-2dcf3bcedc81/manifest,,,,,2
點差御史,成化9.12.16,點差御史,點差御史,點差御史,點差御史,第2冊,卷9,第6條,0009-00019,A00:6290:2,吏部類,無故不朝參公座(無事不朝參),上-232下表,乙4-402(9-10),1473-120-16,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/14372571-068b-47ad-aa19-61b1c58c97cb.json,14372571-068b-47ad-aa19-61b1c58c97cb,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/14372571-068b-47ad-aa19-61b1c58c97cb,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/fe042beedbc43e884114c41ec11b1057df045dcc.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99535,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",,,皇明條法事類纂デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/14372571-068b-47ad-aa19-61b1c58c97cb/manifest,,,,,1
軍職無故假託患病既不赴衞僉書又不赴營差操虚曠三月之上者問罪調衞例,成化12.3.26,軍職無故假託患病既不赴衞僉書又不赴營差操虚曠三月之上者問罪調衞例,軍職無過假託患病卽不赴衞僉書又不赴營差操虚曠三月之上者問罪調衞例,軍職無(過)[故]假托患病(卽)[既]不赴衞僉書又不赴營差操虚曠三月之上者問罪調衞例,軍職無(過)[故]假托患病(卽)[既]不赴衞僉書又不赴營差操虛曠三月之上者問罪調衞例,第2冊,卷9,第7條,0009-00020,A00:6290:2,吏部類,無故不朝參公座(無事不朝參),上-233上表,乙4-402(9-11),1476-030-26,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d1de47ff-4115-4578-92b5-befea37c126c.json,d1de47ff-4115-4578-92b5-befea37c126c,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/d1de47ff-4115-4578-92b5-befea37c126c,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/fa0e37b2abb51f94a1e31ea0327c8b64937a1e86.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99536,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",,,皇明條法事類纂デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d1de47ff-4115-4578-92b5-befea37c126c/manifest,,,,,3
曠職官員調衞,成化14.10.20,曠職官員調衞,曠職官員調衞,曠職官員調衞,曠職官員調衞,第2冊,卷9,第8條,0009-00023,A00:6290:2,吏部類,無故不朝參公座(無事不朝參),上-234下表,乙4-404(9-12),1478-100-20,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/bcea54ea-d5f1-4921-93c5-2c8ed6582a84.json,bcea54ea-d5f1-4921-93c5-2c8ed6582a84,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/bcea54ea-d5f1-4921-93c5-2c8ed6582a84,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/4cdba68278656d936634ee3e091c8510a99f11d8.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99537,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",,,皇明條法事類纂デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/bcea54ea-d5f1-4921-93c5-2c8ed6582a84/manifest,,,,,3
兩京在外軍政及帶俸官曠職幷到任違限等項三箇月者調衞,成化17.2.10,兩京在外軍政及帶俸官曠職幷到任違限等項三箇月者調衞,兩京在外軍政及帶俸官曠職幷到任違限等項三箇月者調衞,兩京在外軍政及帶俸官曠職竝到任違限等項三個月者調衞,兩京在外軍政及帶俸官曠職竝到任違限等項三個月者調衞,第2冊,卷9,第9條,0009-00026,A00:6290:2,吏部類,無故不朝參公座(無事不朝參),上-236上表,乙4-406(9-13),1481-020-10,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/244c514b-55b8-4d1d-8699-1e6d4a1a280b.json,244c514b-55b8-4d1d-8699-1e6d4a1a280b,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/244c514b-55b8-4d1d-8699-1e6d4a1a280b,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c60ef55a9a0819de537814c0dc68c591154033a3.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99538,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",,,皇明條法事類纂デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/244c514b-55b8-4d1d-8699-1e6d4a1a280b/manifest,,,,,2
元宵節候例,成化23.1.5,元宵節候例,元宵節候例,元宵節(候)[假]例,元宵節(候)[假]例,第2冊,卷9,第10條,0009-00027,A00:6290:2,吏部類,無故不朝參公座(無事不朝參),上-236下表,乙4-407(9-14),1487-010-05,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a424abbe-77f9-4248-a38e-952bc95e3eff.json,a424abbe-77f9-4248-a38e-952bc95e3eff,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/a424abbe-77f9-4248-a38e-952bc95e3eff,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/fbf88076b7b0ec686aa498633bde1e562a379ac1.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99539,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",,,皇明條法事類纂デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a424abbe-77f9-4248-a38e-952bc95e3eff/manifest,,,,,2
分巡分守按月出巡不許回司延住,弘治1.1,分巡分守按月出巡不許回司延住,分巡分守按月出巡不許回司延住,分巡分守按月出巡不許回司延住例,分巡分守按月出巡不許回司延住例,第2冊,卷9,第11條,0009-00029,A00:6290:2,吏部類,無故不朝參公座(無事不朝參),上-237下表,乙4-408(9-15),1488-010-99,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/97f7ba78-47c5-48dd-8dc5-6b607681bc7d.json,97f7ba78-47c5-48dd-8dc5-6b607681bc7d,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/97f7ba78-47c5-48dd-8dc5-6b607681bc7d,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/18e57b27847ce30f1aa551455fd8f046502e6cfa.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99540,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",,,皇明條法事類纂デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/97f7ba78-47c5-48dd-8dc5-6b607681bc7d/manifest,,,,,2
巡按回京具訪過官員賢否揭帖,弘治1.閏1.20,巡按回京具訪過官員賢否揭帖,巡按回京具訪察過官員賢否揭帖,巡按回京具訪察過官員賢否揭帖,巡按回京具訪察過官員賢否揭帖,第2冊,卷9,第12條,0009-00030,A00:6290:2,吏部類,無故不朝參公座(無事不朝參),上-238上表,乙4-408(9-16),1488-015-20,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/16437433-2e86-445b-85d7-87509e5eadba.json,16437433-2e86-445b-85d7-87509e5eadba,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/16437433-2e86-445b-85d7-87509e5eadba,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a6db4c1568151dfb8f1b5533e9d414c2217f71e8.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99541,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",,,皇明條法事類纂デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/16437433-2e86-445b-85d7-87509e5eadba/manifest,,,,,3
用手本開註門籍例,弘治1.9.9,用手本開註門籍例,用手本開註門籍例,用手本開註門籍例,用手本開註門籍例,第2冊,卷9,第13條,0009-00032,A00:6290:2,吏部類,無故不朝參公座(無事不朝參),上-239上表,乙4-410(9-17),1488-090-09,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d2753ba1-d98a-4935-ab88-c4cde0765947.json,d2753ba1-d98a-4935-ab88-c4cde0765947,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/d2753ba1-d98a-4935-ab88-c4cde0765947,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/032f148bbd082ef1ac9c1ea9715efe3879a8c377.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99542,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",,,皇明條法事類纂デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d2753ba1-d98a-4935-ab88-c4cde0765947/manifest,,,,,3
佐貳官無故不公座及於私第幹辦,弘治2.2.10,佐貳官無故不公座及於私第幹辦,佐貳官無過不公座及於私第幹辦,佐貳官無(過)[故]不公座及於私第幹辦,佐貳官無(過)[故]不公座及於私第幹辦,第2冊,卷9,第14條,0009-00034,A00:6290:2,吏部類,無故不朝參公座(無事不朝參),上-240上表,乙4-412(9-18),1489-020-10,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/b32b7ad6-2b94-487f-8043-90ff8367bd9f.json,b32b7ad6-2b94-487f-8043-90ff8367bd9f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/b32b7ad6-2b94-487f-8043-90ff8367bd9f,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/7819d2aa6ed239482ab46dc47cf9852443e47834.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99543,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",,,皇明條法事類纂デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/b32b7ad6-2b94-487f-8043-90ff8367bd9f/manifest,,,,,2
巡按御史按察司分司不許含糊批狀發令該府州縣一槪將屬官提問例,成化1.4.10,巡按御史按察司分司不許含糊批狀發令該府州縣一槪將屬官提問例,巡按御史按察司分司不許含糊批狀發令該府州縣一槪將屬官提問例,巡按御史按察司[竝]分司不許含糊批狀發令該府州縣一槪將屬官提問例,巡按御史按察司[竝]分司不許含糊批狀發令該府州縣一槪將屬官提問例,第2冊,卷9,第1條,0009-00035,A00:6290:2,吏部類,擅勾屬官,上-240下表,乙4-413(9-19),1465-040-10,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/0902db05-1c5a-44eb-ada0-c82a15feacd3.json,0902db05-1c5a-44eb-ada0-c82a15feacd3,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/0902db05-1c5a-44eb-ada0-c82a15feacd3,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/e80fafd9159f3662a966251701a63a7a3a78f807.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99544,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",,,皇明條法事類纂デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0902db05-1c5a-44eb-ada0-c82a15feacd3/manifest,,,,,3
在外問刑官員不許別項差遣例,成化2.2.9,在外問刑官員不許別項差遣例,在外問刑官員不許別項差遣例,在外問刑官員不許別項差遣例,在外問刑官員不許別項差遣例,第2冊,卷9,第2條,0009-00038,A00:6290:2,吏部類,擅勾屬官,上-242上表,乙4-414(9-20),1466-020-09,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/3021a43c-2959-4c52-8468-6874d54b8813.json,3021a43c-2959-4c52-8468-6874d54b8813,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/3021a43c-2959-4c52-8468-6874d54b8813,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/65b5572f9d5d7601ed340ef7e27e29fd8ebeea22.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99545,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",,,皇明條法事類纂デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/3021a43c-2959-4c52-8468-6874d54b8813/manifest,,,,,2
納粟除授土官六品以下官犯罪就便提問例,成化2.閏3.19,納粟除授土官六品以下官犯罪就便提問例,納粟除授土官六品以下官犯罪就便提問例,納粟除授土官六品以下官犯罪就便提問例,納粟除授土官六品以下官犯罪就便提問例,第2冊,卷9,第3條,0009-00040,A00:6290:2,吏部類,擅勾屬官,上-243上表,乙4-416(9-21),1466-035-19,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d4366ef3-c99a-47a9-a48a-9676f3545474.json,d4366ef3-c99a-47a9-a48a-9676f3545474,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/d4366ef3-c99a-47a9-a48a-9676f3545474,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/e614503fea0f6de9a1c17e62a619bc472f3404ba.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99546,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",,,皇明條法事類纂デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d4366ef3-c99a-47a9-a48a-9676f3545474/manifest,,,,,3
不許擅擬差官例,成化7.2.14,不許擅擬差官例,不許擅擬差官例,不許擅擬差官例,不許擅擬差官例,第11冊(不分巻-2),卷9,第4條,9902-00003,A00:6290:11,吏部類,擅勾屬官,下-446上表,乙6-28(附-16),1471-020-14,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5cec6b20-6f3b-4fef-8810-c8120b7b7fd7.json,5cec6b20-6f3b-4fef-8810-c8120b7b7fd7,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/5cec6b20-6f3b-4fef-8810-c8120b7b7fd7,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d3f8be6922f3083367af369dce6d7a35014a9e27.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99547,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",,,皇明條法事類纂デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5cec6b20-6f3b-4fef-8810-c8120b7b7fd7/manifest,,,,,1
管河文職不許別差軍職聽漕運衙門定委,成化10.8,管河文職不許別差軍職聽漕運衙門定委,管河文職不許別差軍職聽漕運衙門定委,管河文職不許別差軍職聽漕運衙門定委,管河文職不許別差軍職聽漕運衙門定委,第11冊(不分巻-2),卷9,第5條,9902-00004,A00:6290:11,吏部類,擅勾屬官,下-446下表,乙6-29(附-17),1474-080-99,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/afb56b75-ce51-43d7-8cb1-34362afe8834.json,afb56b75-ce51-43d7-8cb1-34362afe8834,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/afb56b75-ce51-43d7-8cb1-34362afe8834,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/5600602310e81df6f0ed9498eb583f8c82001c10.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99548,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",,,皇明條法事類纂デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/afb56b75-ce51-43d7-8cb1-34362afe8834/manifest,,,,,1
四川地方添設撫民官上司擅委別事聽巡撫巡按拏問僉書官吏,成化16.2.20,四川地方添設撫民官上司擅委別事聽巡撫巡按拏問僉書官吏,四川地方添設撫民官員上司擅委別事聽巡撫巡按拏問僉書官吏,四川地方添設撫民官員上司擅委別事聽巡撫巡按拏問僉書官吏,四川地方添設撫民官員上司擅委別事聽巡撫巡按拏問僉書官吏,第11冊(不分巻-2),卷9,第6條,9902-00005,A00:6290:11,吏部類,擅勾屬官,下-447上表,乙6-29(附-18),1480-020-20,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5590bad2-feb8-4061-9e76-bfb57ae99a94.json,5590bad2-feb8-4061-9e76-bfb57ae99a94,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/5590bad2-feb8-4061-9e76-bfb57ae99a94,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/94c2a126374046bb50ccf76ef672d6bc2ae9693e.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99549,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",,,皇明條法事類纂デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5590bad2-feb8-4061-9e76-bfb57ae99a94/manifest,,,,,4
理問斷事推官不許差占例,成化22.12.21,理問斷事推官不許差占例,理問斷事推官不許差遣例,理問斷事推官不許差占例,理問斷事推官不許差遣例,第11冊(不分巻-2),卷9,第7條,9902-00008,A00:6290:11,吏部類,擅勾屬官,下-448下表,乙6-32(附-19),1486-120-21,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/07bee14d-05c1-4b2b-8568-7dea823e0b4b.json,07bee14d-05c1-4b2b-8568-7dea823e0b4b,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/07bee14d-05c1-4b2b-8568-7dea823e0b4b,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/9d6ca11b991f128b9f570929a376d3c8bf50ced0.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99550,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",,,皇明條法事類纂デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/07bee14d-05c1-4b2b-8568-7dea823e0b4b/manifest,,,,,6
弘治六年五月日戶部等衙門尚書等官葉等題爲公務事,弘治6.5,弘治六年五月日戶部等衙門尚書等官葉等題爲公務事,なし,懲戒曠職以理軍政,なし,第11冊(不分巻-2),卷9,第8條,9902-00013,A00:6290:11,吏部類,擅勾屬官,下-451上表,乙6-35(附-20),1493-050-99,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d6ccb700-c32c-460d-98f9-f22c541ebbbd.json,d6ccb700-c32c-460d-98f9-f22c541ebbbd,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/d6ccb700-c32c-460d-98f9-f22c541ebbbd,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/3dc1c2d98f9ecd0ac76b2da944a9d99d975acdc0.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99551,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",,,皇明條法事類纂デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d6ccb700-c32c-460d-98f9-f22c541ebbbd/manifest,,,,,3
